city,state,state_full,country,region,year,census_fips_code,census_population,census_latitude,census_longitude,residential_speed_limit,bna_id,bna_uuid,bna_people,bna_opportunity_employment,bna_opportunity_k12_education,bna_opportunity_technical_vocational_college,bna_opportunity_higher_education,bna_opportunity,bna_core_services_doctors,bna_core_services_dentists,bna_core_services_hospitals,bna_core_services_pharmacies,bna_core_services_grocery,bna_core_services_social_services,bna_core_services,bna_retail,bna_recreation_parks,bna_recreation_trails,bna_recreation_community_centers,bna_recreation,bna_transit,bna_overall_score,bna_rounded_score,bna_total_low_stress_miles,bna_total_high_stress_miles,pop_size,rank,rank_size,rank_state,rank_country,rank_country_size,creation_date,filename
Houston,TX,Texas,United States,South,2023,4835000,2296253,29.7857,-95.3888,30,66809724-6ba4-4ae6-918d-68f7c4a1fda6,4211e806-cbf6-4313-aa18-84dc8ab0730e,10.49,8.06,14.94,4.04,7.24,9.9,6.54,6.42,6.75,6.62,10.1,5.69,7.34,17.93,20.81,9.14,4.31,12.6,3.47,10.12,10,1473.5,15112.5,large,,,,,,2023-04-13T12:23:00Z,TX_Houston_v23.1.csv
Houston,TX,Texas,United States,South,2023,4835000,2296253,29.7857,-95.3888,30,66809724-6ba4-4ae6-918d-68f7c4a1fda6,5fe7a81f-f3a6-44e2-a163-3116ca87a357,10.51,8.08,15.05,4.14,7.32,9.97,6.73,6.49,6.93,6.54,10.11,5.94,7.45,18.03,20.92,9.42,4.35,12.75,3.47,10.2,10,1516,15134.4,large,,,,,,2023-08-24T10:03:00Z,TX_Houston_v23.2.csv
Houston,TX,Texas,United States,South,2023,4835000,2296253,29.7857,-95.3888,30,66809724-6ba4-4ae6-918d-68f7c4a1fda6,65ac8dd8-5eef-4c2f-a9f0-ab2441b1e74b,10.52,8.12,15.09,4.14,7.32,10,6.99,6.51,6.97,6.46,10.11,5.96,7.51,18.16,21,9.46,4.35,12.8,3.49,10.25,10,1535.4,15139,large,,,,,,2023-12-04T10:59:00Z,TX_Houston_v23.3.csv
Houston,TX,Texas,United States,South,2024,4835000,2296253,29.7857,-95.3888,30,66809724-6ba4-4ae6-918d-68f7c4a1fda6,4c639c6f-742b-47c7-b605-a86f9e8a2917,10.55,8.14,15.5,4.14,7.31,10.15,7.22,6.48,7,8.41,10.51,5.96,7.85,22.9,20.96,9.49,4.46,12.82,3.6,11.08,11,1558.7,15140.6,large,,,,,,2024-03-08T13:48:00Z,TX_Houston_v24.1.csv
Hudson Oaks,TX,Texas,United States,South,2022,4835254,2024,32.7509,-97.7002,30,9fa0e22e-39a7-485a-ba2f-67bb1bc6cbf9,6c12e15d-0234-4839-bfcf-534042c3292b,20.24,9.1,1.02,0,0,5.06,0,0,0,2.57,1.54,0,1.83,4.07,3.04,0,0,3.04,0,6.45,6,2.3,57.6,small,,,,,,2022-10-07T13:31:00Z,TX_Hudson Oaks_v22.1.csv
Hudson Oaks,TX,Texas,United States,South,2023,4835254,2396,32.7509,-97.7002,30,9fa0e22e-39a7-485a-ba2f-67bb1bc6cbf9,368d826f-03c7-46a5-91df-ab11c49dc1e5,20.24,9.1,1.04,0,0,5.07,0,0,0.58,2.57,1.62,0,1.41,4.85,3.04,0,0,3.04,0,6.49,6,2.6,57.8,small,,,,,,2023-04-03T13:50:00Z,TX_Hudson Oaks_v23.1.csv
Hudson Oaks,TX,Texas,United States,South,2023,4835254,2396,32.7509,-97.7002,30,9fa0e22e-39a7-485a-ba2f-67bb1bc6cbf9,3b896d94-ff20-48ca-92e5-9c0aa71b49e0,20.24,9.1,1.04,0,0,5.07,0,0,0.58,2.57,1.62,0,1.41,4.85,1.64,0,0,1.64,0,6.24,6,2.6,57.8,small,,,,,,2023-08-21T16:16:00Z,TX_Hudson Oaks_v23.2.csv
Hudson Oaks,TX,Texas,United States,South,2023,4835254,2396,32.7509,-97.7002,30,9fa0e22e-39a7-485a-ba2f-67bb1bc6cbf9,822e58e8-0309-4edb-afc8-61c41c032e6f,20.24,9.1,1.04,0,0,5.07,0,0,0.58,2.57,1.62,0,1.41,4.85,1.64,0,0,1.64,0,6.24,6,2.7,57.8,small,,,,,,2023-12-04T10:59:00Z,TX_Hudson Oaks_v23.3.csv
Hudson Oaks,TX,Texas,United States,South,2024,4835254,2396,32.7509,-97.7002,30,9fa0e22e-39a7-485a-ba2f-67bb1bc6cbf9,387757ca-b6e8-4232-acd9-7721e7224e18,20.24,9.1,1.04,0,0,5.07,0,0,0.58,1.38,1.62,0,1.2,5.59,1.64,0,0,1.64,0,6.32,6,2.7,58.9,small,,,,,,2024-03-05T17:19:00Z,TX_Hudson Oaks_v24.1.csv
Hurst,TX,Texas,United States,South,2017,4835576,38690,32.8366,-97.1806,25,1ce3ae10-2ed3-4bf5-a5a1-2d9c36f589ea,c15ae6f2-a98e-4caa-8020-89ef0daf5eb5,30.26,16.46,36.49,19.12,0,25.56,0,0,13.1,2.8,2.97,0,5.6,0,49.77,11.29,36.61,33.01,0,18.5,18,0,0,small,,,,,,2017-04-29T06:58:00Z,TX_Hurst_v17.1.csv
Hurst,TX,Texas,United States,South,2017,4835576,38690,32.8366,-97.1806,25,1ce3ae10-2ed3-4bf5-a5a1-2d9c36f589ea,c77d247e-80ca-4ec2-9ba8-3498bb9aa25d,30.85,16.68,36.78,19.12,0,25.78,0,0,13.1,2.8,2.97,0,5.6,9.11,50.08,11.29,36.61,33.14,0,17.24,17,251.9,88.5,small,,,,,,2017-07-18T11:17:00Z,TX_Hurst_v17.2.csv
Hurst,TX,Texas,United States,South,2018,4835576,38813,32.8366,-97.1806,25,1ce3ae10-2ed3-4bf5-a5a1-2d9c36f589ea,3c9406d9-135f-4e7a-a528-98ef67ff1790,30.87,16.69,36.78,19.12,0,25.78,0,0,10.65,2.8,12.02,0,8.33,9.11,50.08,11.29,36.61,33.14,0,17.79,18,251.8,88.6,small,,,,,,2018-01-29T07:56:00Z,TX_Hurst_v18.1.csv
Hurst,TX,Texas,United States,South,2019,4835576,38986,32.8366,-97.1806,30,1ce3ae10-2ed3-4bf5-a5a1-2d9c36f589ea,1ee17966-6bff-451c-b026-8c89f343ce76,18.51,9.23,23.55,7.67,0,15.3,0,15.92,1.49,2.04,11.18,0,5.75,0.89,38.22,7.98,14.26,21.65,0.59,10.46,10,217.9,119,small,,,,,,2019-02-14T21:42:00Z,TX_Hurst_v19.1.csv
