city,state,state_full,country,region,year,census_fips_code,census_population,census_latitude,census_longitude,residential_speed_limit,bna_id,bna_uuid,bna_people,bna_opportunity_employment,bna_opportunity_k12_education,bna_opportunity_technical_vocational_college,bna_opportunity_higher_education,bna_opportunity,bna_core_services_doctors,bna_core_services_dentists,bna_core_services_hospitals,bna_core_services_pharmacies,bna_core_services_grocery,bna_core_services_social_services,bna_core_services,bna_retail,bna_recreation_parks,bna_recreation_trails,bna_recreation_community_centers,bna_recreation,bna_transit,bna_overall_score,bna_rounded_score,bna_total_low_stress_miles,bna_total_high_stress_miles,pop_size,rank,rank_size,rank_state,rank_country,rank_country_size,creation_date,filename
Longueuil,QC,Quebec,Canada,Canada,2024,9900122,254483,45.5369,-73.5107,25,7b6d90a8-f4b5-4a8e-ab3d-363594e61748,5db42d48-6b26-46bf-957a-9b4abfe5d4d0,67.29,0,81.94,61.49,61.96,72.65,72.76,61.75,47.75,74.42,84.44,78.34,70.58,80.79,82.45,89.47,53.89,77.77,55.17,70.8,71,1117.3,305.1,medium,,,,,,2024-04-04T13:48:00Z,QC_Longueuil_v24.1.csv
Montreal,QC,Quebec,Canada,Canada,2019,9900123,1704694,45.5017,-73.5673,25,9a87bcb3-c4ed-45dc-b06a-7819e13e6b1b,3e8e7ac3-3979-4822-98d4-4183f801816c,46.07,0,72.59,43.63,44.98,59.96,46.29,41.67,56.8,55,70.75,48,55.17,68.15,75.41,55.88,39.51,59.6,46.07,56.01,56,3135.9,1352,large,,,,,,2019-05-08T12:49:00Z,QC_Montreal_v19.1.csv
Montreal,QC,Quebec,Canada,Canada,2020,9900123,1704694,45.5017,-73.5673,25,9a87bcb3-c4ed-45dc-b06a-7819e13e6b1b,7469f269-5a98-45ff-ae69-684dad40b3fc,46.67,0,72.98,43.69,41.35,59.1,47.63,42.18,56.87,56.27,71.26,49.38,55.97,68.6,75.73,58.41,41.48,61.11,50.71,57.08,57,3163.5,1350.5,large,,,,,,2020-03-30T15:47:00Z,QC_Montreal_v20.1.csv
Montreal,QC,Quebec,Canada,Canada,2021,9900123,1704694,45.5017,-73.5673,19,9a87bcb3-c4ed-45dc-b06a-7819e13e6b1b,e7d07f1f-32f1-4c1e-80bb-ca8630eaec55,51.8,0,75.1,47.99,45.55,62.17,52.42,47.84,59.8,60.45,73.56,70.54,62.24,71.85,77.13,63.97,50.37,65.83,55.79,61.67,62,3219,1316.1,large,,,,,,2021-03-26T08:06:00Z,QC_Montreal_v21.1.csv
Montreal,QC,Quebec,Canada,Canada,2022,9900123,1762949,45.5017,-73.5673,19,9a87bcb3-c4ed-45dc-b06a-7819e13e6b1b,238579f0-c1aa-441c-8066-5ac76b5ca69d,59.86,0,77.68,0,48.86,65.76,58.59,57.95,63.32,66.33,77.42,73.9,67.25,74.04,79.36,75.7,55.06,72,63.85,66.41,66,0,0,large,,,,,,2022-03-28T13:14:00Z,QC_Montreal_v22.1.csv
Montreal,QC,Quebec,Canada,Canada,2023,9900123,1762949,45.5017,-73.5673,19,9a87bcb3-c4ed-45dc-b06a-7819e13e6b1b,0d9e59fb-655c-4b32-ae5c-6e576e67bf64,59.16,0,77.7,54.33,50.01,65.58,58.75,57.99,60.87,67.31,80.17,74.33,67.65,73.41,79.63,77.96,57.19,73.44,63.09,67.01,67,3743.5,1266.6,large,,,,,,2023-04-13T08:13:00Z,QC_Montreal_v23.1.csv
Montreal,QC,Quebec,Canada,Canada,2023,9900123,1762949,45.5017,-73.5673,19,9a87bcb3-c4ed-45dc-b06a-7819e13e6b1b,20a7bb9b-8793-44dd-9640-51ab354facfa,62.16,0,78.84,59.62,50.41,67.14,62.95,60.42,61.62,70.37,81.62,75.72,69.76,74.92,80.77,78.98,60.25,75.01,65.06,68.95,69,3861,1252.3,large,,,,,,2023-08-04T12:55:00Z,QC_Montreal_v23.2.csv
Montreal,QC,Quebec,Canada,Canada,2024,9900123,1762949,45.5017,-73.5673,20,9a87bcb3-c4ed-45dc-b06a-7819e13e6b1b,8c371392-4316-4661-b854-2c6518da8fd5,64.43,0,80.16,61.14,52.75,68.8,66.35,63.01,66.83,73.31,83.2,77.02,72.62,79.04,81.51,79.57,62.81,76.16,65.72,71.09,71,4042.5,1256.4,large,,,,,,2024-04-04T13:48:00Z,QC_Montreal_v24.1.csv
Quebec City,QC,Quebec,Canada,Canada,2022,9900124,549459,46.817,-71.217,25,bb5e6d82-7460-4b62-a2dd-ae1e1b0949c9,62903b21-e34f-498f-8867-f1aa898bce8f,56.79,0,72.99,44.26,50.43,61.91,52.81,39.9,45.04,65.01,73.4,56.98,56.96,60.59,78.25,65.38,51.58,67.08,37.58,57.08,57,2823.3,858.9,large,,,,,,2022-03-28T16:17:00Z,QC_Quebec City_v22.1.csv
Quebec City,QC,Quebec,Canada,Canada,2023,9900124,549459,46.817,-71.217,25,bb5e6d82-7460-4b62-a2dd-ae1e1b0949c9,e58a77b0-8467-4ae2-8234-3dd76ab43c3c,57.93,0,73.44,44.96,51.23,62.22,53.92,40.45,49.2,65.47,73.12,59.22,58.38,61.79,78.67,67.71,51.61,68.07,38.3,58.03,58,2847.2,860.6,large,,,,,,2023-04-13T08:20:00Z,QC_Quebec City_v23.1.csv
Quebec City,QC,Quebec,Canada,Canada,2024,9900124,549459,46.817,-71.217,25,bb5e6d82-7460-4b62-a2dd-ae1e1b0949c9,3d71ebbc-c7d0-4018-8a78-e02dfe6b1c23,58.35,0,74.66,51.07,50.96,63.74,55.11,41.49,51.9,65.94,73.81,57,59.15,69.06,78.8,67.23,53.09,68.32,38.86,59.77,60,2881,865.2,large,,,,,,2024-04-04T13:48:00Z,QC_Quebec City_v24.1.csv
Repentigny,QC,Quebec,Canada,Canada,2021,9900125,84285,45.7533,-73.4401,25,e3db66d7-731a-4caa-b5cb-08c1ba5a31c6,32470b9d-f734-4cdf-8dc4-1cfcf901ba11,51.09,0,72.31,17.98,0,60.67,41.89,36.79,47.98,46.9,61.65,25.46,45.57,70.91,76.42,62.68,28.87,59.72,38.23,54.24,54,420.5,121,medium,,,,,,2021-03-24T12:28:00Z,QC_Repentigny_v21.1.csv
Repentigny,QC,Quebec,Canada,Canada,2022,9900125,86100,45.7533,-73.4401,25,e3db66d7-731a-4caa-b5cb-08c1ba5a31c6,b09fa360-d78b-428f-b779-52738fd9ac81,48.88,0,71.62,14.15,0,59.31,41.16,31.86,53.23,44.31,62.66,27.33,46.26,69.79,75.73,39.52,30.6,51.77,37.65,52.33,52,425.9,127.1,medium,,,,,,2022-03-28T15:57:00Z,QC_Repentigny_v22.1.csv
Repentigny,QC,Quebec,Canada,Canada,2023,9900125,86100,45.7533,-73.4401,25,e3db66d7-731a-4caa-b5cb-08c1ba5a31c6,a2920648-e6c3-471d-a7a4-beaf0b5f7894,49.99,0,72.28,23.58,0,61.46,41.16,32.81,54.94,44.46,63.65,28.13,47.08,70.34,76.04,50.14,30.6,55.62,31.31,52.8,53,431.4,127.4,medium,,,,,,2023-04-13T08:21:00Z,QC_Repentigny_v23.1.csv
Repentigny,QC,Quebec,Canada,Canada,2024,9900125,84285,45.7533,-73.4401,25,e3db66d7-731a-4caa-b5cb-08c1ba5a31c6,5fb3225c-46d4-4cef-b7fc-2b60996edd9a,53.59,0,74.89,33.62,0,65.72,37.44,38.09,56.17,49.15,68.12,32.73,49.39,73.08,76.92,50.63,30.6,56.14,41.12,56.61,57,435,125.8,medium,,,,,,2024-04-04T13:49:00Z,QC_Repentigny_v24.1.csv
Saguenay,QC,Quebec,Canada,Canada,2023,9900126,144723,48.4276,-71.06,25,b03ac35f-bf0a-4efb-91b4-366682cb6a67,02ed0250-4708-42f4-afb3-ef1b49c6cdfe,61.53,0,60.21,13.58,29.18,43.49,20.78,31.81,34.07,42.9,58.95,46.15,40.1,47.65,73.89,64.04,48.49,64.09,41.15,48.88,49,1876.6,639.4,medium,,,,,,2023-04-14T08:22:00Z,QC_Saguenay_v23.1.csv
Saguenay,QC,Quebec,Canada,Canada,2024,9900126,144723,48.4276,-71.06,25,b03ac35f-bf0a-4efb-91b4-366682cb6a67,c3a4e834-e19f-4410-9d6e-cc553cd73537,60.37,0,60.94,13.58,29.13,43.87,19.1,26.32,33.86,39.32,57,45.69,38.26,52.36,73.32,64.06,43,62.5,39.83,48.69,49,1899.5,639.1,medium,,,,,,2024-04-04T13:49:00Z,QC_Saguenay_v24.1.csv
Sainte-Julie,QC,Quebec,Canada,Canada,2023,9900127,30045,45.5925,-73.3427,25,0b72f8c2-2ffa-489c-ba51-67154b42ae5a,6d4b2aff-e76b-4911-b1e1-ed63a1958494,81.01,0,75.76,33.85,0,66.45,60.09,82.23,36.96,75.92,81.14,86.7,68.52,77.2,85.3,90.43,84.66,86.94,90.76,77.38,77,218.8,77.5,small,,,,,,2023-04-13T09:53:00Z,QC_Sainte-Julie_v23.1.csv
