city,state,state_full,country,region,year,census_fips_code,census_population,census_latitude,census_longitude,residential_speed_limit,bna_id,bna_uuid,bna_people,bna_opportunity_employment,bna_opportunity_k12_education,bna_opportunity_technical_vocational_college,bna_opportunity_higher_education,bna_opportunity,bna_core_services_doctors,bna_core_services_dentists,bna_core_services_hospitals,bna_core_services_pharmacies,bna_core_services_grocery,bna_core_services_social_services,bna_core_services,bna_retail,bna_recreation_parks,bna_recreation_trails,bna_recreation_community_centers,bna_recreation,bna_transit,bna_overall_score,bna_rounded_score,bna_total_low_stress_miles,bna_total_high_stress_miles,pop_size,rank,rank_size,rank_state,rank_country,rank_country_size,creation_date,filename
Fairburn,GA,Georgia,United States,South,2024,1328380,16469,33.5478,-84.5873,30,0bc8de12-ee45-488e-a14d-1257baa929a1,2799945a-83f1-420b-9bc5-27896f180412,22.62,12.47,4.5,0,3.44,7.36,6.46,0,0,0.27,3.31,0.28,2.74,21.78,14.71,0,1.93,9.79,0,11.94,12,19.4,232.3,small,,,,,,2024-03-20T17:08:00Z,GA_Fairburn_v24.1.csv
Fayetteville,GA,Georgia,United States,South,2022,1328968,18633,33.4491,-84.4728,30,7b5eaef9-c7d4-4aae-a32d-86d0f61e22bf,80412372-01f5-4fb4-810b-0bb57595f4ee,29.57,19.84,19.42,0,0,19.63,3.74,0,14.98,5.37,18.32,0,11.81,0,28.22,0,0,28.22,0,21.37,21,17.2,217.9,small,,,,,,2022-01-23T08:28:00Z,GA_Fayetteville_v22.1.csv
Fayetteville,GA,Georgia,United States,South,2023,1328968,19010,33.4491,-84.4728,30,7b5eaef9-c7d4-4aae-a32d-86d0f61e22bf,88c372b9-fcd8-47b5-b099-c62addbed836,30.7,19.81,22.41,0,0,21.11,3.74,0,14.98,5.37,19.77,0,12.3,0,34.54,0,0,34.54,0,23.53,24,25.5,223,small,,,,,,2023-04-01T19:03:00Z,GA_Fayetteville_v23.1.csv
Fayetteville,GA,Georgia,United States,South,2023,1328968,19010,33.4491,-84.4728,30,7b5eaef9-c7d4-4aae-a32d-86d0f61e22bf,ff4b4c71-2c23-416c-8879-b245cdb3f807,30.7,19.81,22.41,0,0,21.11,3.74,0,14.98,5.37,19.77,0,12.3,0,33.82,0,0,33.82,0,23.37,23,25.5,223.5,small,,,,,,2023-08-21T10:51:00Z,GA_Fayetteville_v23.2.csv
Fayetteville,GA,Georgia,United States,South,2023,1328968,19010,33.4491,-84.4728,30,7b5eaef9-c7d4-4aae-a32d-86d0f61e22bf,7c95fbae-4697-429c-8a72-a2654d66c7ff,30.74,19.94,22.54,0,0,21.24,3.88,0,14.98,5.37,19.77,0,12.34,0,34.54,0,0,34.54,0,23.58,24,26.4,222.8,small,,,,,,2023-12-06T14:45:00Z,GA_Fayetteville_v23.3.csv
Fayetteville,GA,Georgia,United States,South,2024,1328968,19010,33.4491,-84.4728,30,7b5eaef9-c7d4-4aae-a32d-86d0f61e22bf,88913136-21cf-40ed-b275-8dfad32b8572,32.24,23.57,30.9,3.8,0,24.31,22.87,25.23,24.25,22.2,26.7,55.02,29.1,44.45,38.64,0,17.28,30.42,0,31.47,31,48.5,223.7,small,,,,,,2024-03-06T14:32:00Z,GA_Fayetteville_v24.1.csv
Fort Valley,GA,Georgia,United States,South,2023,1331096,8821,32.5511,-83.8799,30,ef2aaddf-af5b-40f3-ab1d-647a258477a2,aacb10bb-6687-44c9-bdb3-483b46b4bfa2,20.2,5.17,2.77,0,33.11,10.45,0,0,28.74,1.1,0.74,25.38,10.94,1.65,3.3,0,0,3.3,5.4,8.86,9,1.9,159.9,small,,,,,,2023-08-21T10:51:00Z,GA_Fort Valley_v23.1.csv
Fort Valley,GA,Georgia,United States,South,2023,1331096,8821,32.5511,-83.8799,30,ef2aaddf-af5b-40f3-ab1d-647a258477a2,f906a43b-4f44-4123-8116-576c524b969c,20.2,5.17,2.77,0,33.11,10.45,0,0,28.74,1.1,0.74,25.38,10.94,1.65,3.3,0,0,3.3,5.4,8.86,9,1.9,159.9,small,,,,,,2023-12-06T14:45:00Z,GA_Fort Valley_v23.2.csv
Fort Valley,GA,Georgia,United States,South,2024,1331096,8821,32.5511,-83.8799,30,ef2aaddf-af5b-40f3-ab1d-647a258477a2,c895bdaf-956b-4a72-b0e5-954bc76bc2c3,20.2,5.17,2.77,0,33.11,10.45,0,0,28.74,1.1,0.74,25.38,10.94,2.26,3.3,0,0,3.3,5.4,8.95,9,1.9,160.5,small,,,,,,2024-03-06T14:32:00Z,GA_Fort Valley_v24.1.csv
Gainesville,GA,Georgia,United States,South,2024,1331908,42780,34.2901,-83.8291,30,8dfe04c9-5bf2-4543-8aa6-e9d32a956569,30912f4f-db10-4dcd-8fab-8ad129941a12,19.15,12.75,10.24,6.83,7.62,10.25,2.05,0,6.54,4.38,12.93,0,7.18,15.46,19.36,0,2.2,12.76,0,10.59,11,89.7,473.5,small,,,,,,2024-03-06T14:32:00Z,GA_Gainesville_v24.1.csv
Grayson,GA,Georgia,United States,South,2021,1334596,4303,33.8908,-83.9581,30,6ddc7103-425b-4866-a370-f7aa1e58d054,3dd01371-f6c8-42ae-b83e-457af62b4d9c,26.45,25.57,24.96,0,0,25.27,0,11.89,0,5.36,23.6,0,16.94,0,23.48,0,5.2,16.45,0,21.25,21,0,47,small,,,,,,2021-02-25T12:46:00Z,GA_Grayson_v21.1.csv
Grayson,GA,Georgia,United States,South,2022,1334596,4478,33.8908,-83.9581,30,6ddc7103-425b-4866-a370-f7aa1e58d054,c753794b-b2a8-4dd8-b6e0-4fb22597ecad,26.45,25.57,24.96,0,0,25.27,0,11.89,0,5.36,23.6,0,16.94,0,23.48,0,5.2,16.45,0,21.25,21,0,47.4,small,,,,,,2022-01-23T08:28:00Z,GA_Grayson_v22.1.csv
Grayson,GA,Georgia,United States,South,2023,1334596,4572,33.8908,-83.9581,30,6ddc7103-425b-4866-a370-f7aa1e58d054,60253a26-1a85-40c4-b6a3-aa1af0a91857,26.45,26.11,24.96,0,0,25.54,0,11.89,0,5.36,23.6,0,16.94,4.19,29.27,0,5.2,20.01,0,18.93,19,0.2,49.5,small,,,,,,2023-04-01T19:04:00Z,GA_Grayson_v23.1.csv
Grayson,GA,Georgia,United States,South,2023,1334596,4572,33.8908,-83.9581,30,6ddc7103-425b-4866-a370-f7aa1e58d054,5e8436e3-29c6-4327-afd4-12d840d546fb,26.45,26.11,24.96,0,0,25.54,0,11.89,0,5.36,23.6,0,16.94,4.19,29.27,0,5.2,20.01,0,18.93,19,0.2,49.6,small,,,,,,2023-08-21T10:51:00Z,GA_Grayson_v23.2.csv
Grayson,GA,Georgia,United States,South,2023,1334596,4572,33.8908,-83.9581,30,6ddc7103-425b-4866-a370-f7aa1e58d054,35e87472-20ec-4427-aff2-60046b5a1197,26.45,26.11,24.96,0,0,25.54,0,11.89,0,5.36,23.6,0,16.94,4.19,29.27,0,5.2,20.01,0,18.93,19,0.2,49.6,small,,,,,,2023-12-06T14:45:00Z,GA_Grayson_v23.3.csv
Grayson,GA,Georgia,United States,South,2024,1334596,4572,33.8908,-83.9581,30,6ddc7103-425b-4866-a370-f7aa1e58d054,cac5bc4d-15a3-4508-a3c0-7cf275e2f0e3,26.45,26.11,24.96,0,0,25.54,0,11.89,0,5.36,20.7,0,15.33,44.26,29.27,0,5.2,20.01,0,25.63,26,0.2,49.6,small,,,,,,2024-03-06T14:32:00Z,GA_Grayson_v24.1.csv
Greensboro,GA,Georgia,United States,South,2024,1334876,3573,33.5636,-83.1891,30,c9f1ad83-00db-4bb5-9a1d-d6c5808a1f34,8b11fb91-1623-4c93-ad43-097fe0d29b4d,21.57,17.6,17.16,0,0,17.38,0,0,0,0,7.03,0,7.03,8.08,9.03,0,0,9.03,0,12.57,13,0.9,85.1,small,,,,,,2024-03-06T14:32:00Z,GA_Greensboro_v24.1.csv
Griffin,GA,Georgia,United States,South,2023,1335324,23485,33.2432,-84.2719,30,a14d90dc-4bf6-4c61-9f7d-cc97866169ea,b0ac7238-07a1-44d5-a540-5657c2d2baf6,17.22,8.85,12.42,1.81,3.01,8.23,17.82,3.47,8.33,3.36,7.96,0,9.3,0,16.8,0,0,16.8,0,12.3,12,19.7,325.1,small,,,,,,2023-10-30T08:08:00Z,GA_Griffin_v23.1.csv
Griffin,GA,Georgia,United States,South,2023,1335324,23485,33.2432,-84.2719,30,a14d90dc-4bf6-4c61-9f7d-cc97866169ea,b5baa835-b33b-46b2-b97d-abcb55f8e35e,17.22,8.85,12.42,1.81,3.01,8.23,17.82,3.47,8.33,3.36,7.96,0,9.3,0,16.8,0,0,16.8,0,12.3,12,19.7,325.1,small,,,,,,2023-12-06T14:45:00Z,GA_Griffin_v23.2.csv
Griffin,GA,Georgia,United States,South,2024,1335324,23485,33.2432,-84.2719,30,a14d90dc-4bf6-4c61-9f7d-cc97866169ea,2137ea87-f36d-434b-8eb0-3e6b721e4c67,17.22,8.85,12.42,1.81,3.01,8.23,17.82,3.47,8.33,3.36,7.96,0,9.3,4.79,16.8,0,0,16.8,0,10.97,11,19.7,325.1,small,,,,,,2024-03-06T14:32:00Z,GA_Griffin_v24.1.csv
Guyton,GA,Georgia,United States,South,2024,1335884,2405,32.3323,-81.3904,30,2e44c7ab-6359-4e79-bed1-f32423bf46c0,c44a25c6-cbf6-4c0e-89f7-73c283bae5b5,35.59,24.17,24.92,0,0,24.55,0,0,0,0,0,0,,0,15.4,0,0,15.4,0,25.12,25,1.5,60.1,small,,,,,,2024-03-20T17:08:00Z,GA_Guyton_v24.1.csv
Hapeville,GA,Georgia,United States,South,2022,1336472,6553,33.6609,-84.4093,30,a19b857d-6b9d-4a94-ba5a-5c1c168d098b,a42768be-cde7-4b3c-86de-994d2918bb33,8.03,2.93,18.07,0,0,10.5,0,0,3.62,4.66,10.12,0,4.13,0,11.85,0,0,11.85,0,6.95,7,1.8,75.7,small,,,,,,2022-12-08T14:55:00Z,GA_Hapeville_v22.1.csv
Hapeville,GA,Georgia,United States,South,2023,1336472,6566,33.6609,-84.4093,30,a19b857d-6b9d-4a94-ba5a-5c1c168d098b,baff6b62-a545-4346-8582-845ff79a4be5,8.03,2.93,18.07,0,0,10.5,0,0,3.62,4.66,10.12,0,4.13,0,11.85,0,0,11.85,0,6.95,7,1.8,75.7,small,,,,,,2023-04-01T19:03:00Z,GA_Hapeville_v23.1.csv
Hapeville,GA,Georgia,United States,South,2023,1336472,6566,33.6609,-84.4093,30,a19b857d-6b9d-4a94-ba5a-5c1c168d098b,d1999b7a-55ba-43e4-8cca-59deac97763f,8.03,2.93,18.07,0,0,10.5,0,0,3.62,4.66,10.12,0,4.13,0,11.85,0,0,11.85,0,6.95,7,1.8,75.7,small,,,,,,2023-08-21T10:51:00Z,GA_Hapeville_v23.2.csv
Hapeville,GA,Georgia,United States,South,2023,1336472,6566,33.6609,-84.4093,30,a19b857d-6b9d-4a94-ba5a-5c1c168d098b,9451ab2a-2a9c-408f-9b6d-12708cd54c43,8.03,2.93,18.07,0,0,10.5,0,0,3.62,4.66,10.12,0,4.13,0,11.85,0,0,11.85,0,6.95,7,1.8,75.7,small,,,,,,2023-12-06T14:45:00Z,GA_Hapeville_v23.3.csv
Hapeville,GA,Georgia,United States,South,2024,1336472,6566,33.6609,-84.4093,25,a19b857d-6b9d-4a94-ba5a-5c1c168d098b,d6b6e163-5217-46e8-b6df-3b6e344fed08,32.69,12.57,53.05,0,0,32.81,0,0,3.62,58.33,11.2,0,10.4,73.5,30.9,0,0,30.9,0,29.21,29,53.6,24,small,,,,,,2024-03-06T14:32:00Z,GA_Hapeville_v24.1.csv
Hiram,GA,Georgia,United States,South,2022,1339076,4763,33.8908,-84.7505,30,07174d44-144a-47f6-858a-f0d74a7c3623,02dc35e4-1f72-4180-9a97-a13810783b31,19.17,19.36,5.76,0,0,12.56,9.48,4.55,23.61,8.49,15.43,0,13.86,0,6.19,4.58,0,5.44,0,10.56,11,4,76.1,small,,,,,,2022-12-08T14:55:00Z,GA_Hiram_v22.1.csv
Hiram,GA,Georgia,United States,South,2023,1339076,4911,33.8908,-84.7505,30,07174d44-144a-47f6-858a-f0d74a7c3623,07559c3d-1589-4c67-86b9-6a94b559dbf3,19.17,19.36,5.76,0,0,12.56,9.48,4.55,23.61,8.49,15.43,0,13.86,0,6.19,4.58,0,5.44,0,10.56,11,4,75.9,small,,,,,,2023-04-01T19:03:00Z,GA_Hiram_v23.1.csv
Hiram,GA,Georgia,United States,South,2023,1339076,4911,33.8908,-84.7505,30,07174d44-144a-47f6-858a-f0d74a7c3623,90fe305b-39c9-4008-abde-a7dd678f5dd7,19.17,19.36,5.76,0,0,12.56,9.48,4.55,23.61,8.49,15.43,0,13.86,0,6.19,4.58,0,5.44,0,10.56,11,4,75.9,small,,,,,,2023-08-21T10:51:00Z,GA_Hiram_v23.2.csv
Hiram,GA,Georgia,United States,South,2023,1339076,4911,33.8908,-84.7505,30,07174d44-144a-47f6-858a-f0d74a7c3623,dcab1c04-c114-414c-bb61-4307f6aafc5d,19.23,19.49,5.76,0,0,12.63,9.48,4.55,23.61,8.49,16.76,0,14.25,0,6.19,4.58,0,5.44,0,10.68,11,6.4,73.3,small,,,,,,2023-12-06T14:45:00Z,GA_Hiram_v23.3.csv
Hiram,GA,Georgia,United States,South,2024,1339076,4911,33.8908,-84.7505,30,07174d44-144a-47f6-858a-f0d74a7c3623,3a769a94-ece5-4d55-b194-4f39ea817b2a,19.23,19.49,5.76,0,0,12.63,9.48,4.55,23.61,3.4,16.76,0,13.65,33.4,6.19,4.58,0,5.44,0,16.43,16,6.4,73.3,small,,,,,,2024-03-08T14:58:00Z,GA_Hiram_v24.1.csv
Jefferson,GA,Georgia,United States,South,2023,1341988,13496,34.1362,-83.6022,30,272d9a32-ba6d-448c-89b0-63dc383339eb,f9002039-d724-42d5-91e3-2bbd1ff9c369,27.1,19.4,10.08,0,0,14.74,20.8,6.11,0,19.98,22.69,0,19.14,24.23,16.07,0,9.42,13.51,0,19.41,19,67.3,198.8,small,,,,,,2023-08-21T10:51:00Z,GA_Jefferson_v23.1.csv
Jefferson,GA,Georgia,United States,South,2023,1341988,13496,34.1362,-83.6022,30,272d9a32-ba6d-448c-89b0-63dc383339eb,723cb384-4ea4-4315-a6c0-a48b2719d654,27.27,19.4,10.08,0,0,14.74,20.8,6.11,0,19.98,22.69,0,19.14,24.23,16.07,0,9.42,13.51,0,19.44,19,67.1,199,small,,,,,,2023-12-06T14:45:00Z,GA_Jefferson_v23.2.csv
Jefferson,GA,Georgia,United States,South,2024,1341988,13496,34.1362,-83.6022,30,272d9a32-ba6d-448c-89b0-63dc383339eb,545dd9be-6ee2-4045-82bf-59be83594b72,27.27,19.4,10.08,0,0,14.74,20.8,6.11,0,19.98,22.69,0,19.14,24.23,16.07,0,9.42,13.51,0,19.44,19,67.1,199,small,,,,,,2024-03-06T14:32:00Z,GA_Jefferson_v24.1.csv
Johns Creek,GA,Georgia,United States,South,2022,1342425,82068,34.0327,-84.2038,30,bdb9ef8f-bc2a-4548-b433-37345dbd9a0d,1d6853b9-923d-4be5-bcd3-37c3c1dfebbc,28.08,23.78,42.16,0,0,25.64,22.51,7.24,16.8,17.56,44.09,3.49,21.89,3.04,40.07,36.7,17.97,33.37,0,22.56,23,91.3,652.2,medium,,,,,,2022-12-08T14:55:00Z,GA_Johns Creek_v22.1.csv
Johns Creek,GA,Georgia,United States,South,2023,1342425,82230,34.0327,-84.2038,30,bdb9ef8f-bc2a-4548-b433-37345dbd9a0d,8de30b90-788c-4980-8c8c-69a9f4895fd8,28.08,23.78,42.16,0,0,25.64,22.66,7.24,16.8,17.56,44.09,3.49,21.92,2.57,40.07,36.7,17.97,33.37,0,22.49,22,91.2,652.4,medium,,,,,,2023-04-01T19:03:00Z,GA_Johns Creek_v23.1.csv
Johns Creek,GA,Georgia,United States,South,2023,1342425,82230,34.0327,-84.2038,30,bdb9ef8f-bc2a-4548-b433-37345dbd9a0d,c25bfeb7-1a2d-4af2-877d-d5f166b55c71,28.09,23.78,42.16,0,0,25.64,18.29,7.24,14.17,17.59,44.09,3.49,20.52,4.65,40.32,36.7,17.97,33.47,0,22.55,23,102.4,652.6,medium,,,,,,2023-08-21T10:51:00Z,GA_Johns Creek_v23.2.csv
Johns Creek,GA,Georgia,United States,South,2023,1342425,82230,34.0327,-84.2038,30,bdb9ef8f-bc2a-4548-b433-37345dbd9a0d,9dcff933-40bf-4d5f-8013-eab99456105a,28.09,23.79,42.45,0,0,25.76,21.37,7.24,14.17,17.59,44.09,3.49,21.14,4.65,44.71,39.31,17.97,36.14,0,23.19,23,103.4,653,medium,,,,,,2023-12-06T14:45:00Z,GA_Johns Creek_v23.3.csv
Johns Creek,GA,Georgia,United States,South,2024,1342425,82230,34.0327,-84.2038,30,bdb9ef8f-bc2a-4548-b433-37345dbd9a0d,375bca0e-3a8f-47d0-8f47-f5538351766c,28.09,23.79,44.64,0,0,26.61,21.37,7.24,23.8,24.25,46.16,3.49,24.25,43.93,44.71,39.31,17.97,36.14,0,31.05,31,103.4,653,medium,,,,,,2024-03-06T14:32:00Z,GA_Johns Creek_v24.1.csv
Kennesaw,GA,Georgia,United States,South,2022,1343192,33036,34.0272,-84.6171,30,ce205871-a126-403a-bdcc-cbeb76670081,61d2ed92-cf13-404b-a306-fca91d5e7fbb,17.06,11.18,15.84,0,4.03,11.4,7.39,5.43,0,9.4,10.3,0,6.92,13.53,28.12,15.49,2.04,17.18,0,12.74,13,25,243.3,small,,,,,,2022-12-08T14:55:00Z,GA_Kennesaw_v22.1.csv
Kennesaw,GA,Georgia,United States,South,2023,1343192,33360,34.0272,-84.6171,30,ce205871-a126-403a-bdcc-cbeb76670081,0ea6b761-ea3f-4f6d-a319-450e38db4d92,17.05,11.18,15.84,0,4.03,11.4,6.92,5.43,0,9.4,10.3,0,6.8,13.53,28.12,15.49,2.04,17.18,0,12.71,13,25.1,243.3,small,,,,,,2023-04-01T19:03:00Z,GA_Kennesaw_v23.1.csv
Kennesaw,GA,Georgia,United States,South,2023,1343192,33360,34.0272,-84.6171,30,ce205871-a126-403a-bdcc-cbeb76670081,f54f10c7-2f2c-4711-9b7a-dfca50b6fbc5,17.05,11.18,15.84,0,4.03,11.4,6.92,8.51,34.38,9.4,10.3,0,12.63,13.53,29.11,15.49,2.03,17.57,0,14.15,14,24.7,244.9,small,,,,,,2023-08-21T10:51:00Z,GA_Kennesaw_v23.2.csv
Kennesaw,GA,Georgia,United States,South,2023,1343192,33360,34.0272,-84.6171,30,ce205871-a126-403a-bdcc-cbeb76670081,15f33896-2017-4d8d-99dc-08596b8ad963,17.13,11.82,15.84,0,4.03,11.65,8.25,10.29,23.76,9.4,10.47,0,10.99,13.65,30.09,15.49,2.03,17.97,0,13.93,14,25.2,245.2,small,,,,,,2023-12-06T14:45:00Z,GA_Kennesaw_v23.3.csv
Kennesaw,GA,Georgia,United States,South,2024,1343192,33360,34.0272,-84.6171,30,ce205871-a126-403a-bdcc-cbeb76670081,e631cf4a-81ee-4c06-b855-ee4132c2a0ae,17.16,11.82,17.93,0,4.03,12.47,8.25,10.07,23.76,8.6,11.12,0,11.05,26.22,30.24,15.49,3.89,18.49,0,16.45,16,25.2,244.6,small,,,,,,2024-03-06T14:32:00Z,GA_Kennesaw_v24.1.csv
LaGrange,GA,Georgia,United States,South,2021,1344340,30494,33.027,-85.0383,30,4539118c-e81f-4530-b500-a4ce6c190ae4,1a97de64-d16e-4640-878b-59daf321172b,20.54,11.86,10.64,7.8,0,8.66,1.3,0.02,11.19,0,15.34,0,8.45,8.75,6.21,0,0,6.21,0,10.29,10,5,512.7,small,,,,,,2021-02-25T12:46:00Z,GA_LaGrange_v21.1.csv
LaGrange,GA,Georgia,United States,South,2022,1344340,31053,33.027,-85.0383,30,4539118c-e81f-4530-b500-a4ce6c190ae4,24e99907-535a-49b1-ba6f-77ea37d2334b,20.03,11,9.28,0,7.63,9.58,1.3,0.02,7.02,0.09,17.59,0,7.14,9.3,7.2,0,0,7.2,0,10.38,10,1.8,507,small,,,,,,2022-01-23T08:28:00Z,GA_LaGrange_v22.1.csv
LaGrange,GA,Georgia,United States,South,2023,1344340,31173,33.027,-85.0383,30,4539118c-e81f-4530-b500-a4ce6c190ae4,a3aa118d-9e76-4ccd-81a4-61fbf043f6df,20.01,11.07,8.28,0,7.63,9.22,1.3,0.02,7.02,2.36,14.82,0,6.6,9.3,7.2,0,0,7.2,0,10.17,10,1.8,508.8,small,,,,,,2023-04-01T19:04:00Z,GA_LaGrange_v23.1.csv
LaGrange,GA,Georgia,United States,South,2023,1344340,31173,33.027,-85.0383,30,4539118c-e81f-4530-b500-a4ce6c190ae4,7bf74575-a625-48d4-8a3b-e393db29b20f,20,11.07,8.48,0,7.63,9.3,1.3,0.02,7.8,2.27,14.74,0,6.75,9.4,7.2,0,0,7.2,0,10.24,10,1.8,504.1,small,,,,,,2023-08-21T10:51:00Z,GA_LaGrange_v23.2.csv
