city,state,state_full,country,region,year,census_fips_code,census_population,census_latitude,census_longitude,residential_speed_limit,bna_id,bna_uuid,bna_people,bna_opportunity_employment,bna_opportunity_k12_education,bna_opportunity_technical_vocational_college,bna_opportunity_higher_education,bna_opportunity,bna_core_services_doctors,bna_core_services_dentists,bna_core_services_hospitals,bna_core_services_pharmacies,bna_core_services_grocery,bna_core_services_social_services,bna_core_services,bna_retail,bna_recreation_parks,bna_recreation_trails,bna_recreation_community_centers,bna_recreation,bna_transit,bna_overall_score,bna_rounded_score,bna_total_low_stress_miles,bna_total_high_stress_miles,pop_size,rank,rank_size,rank_state,rank_country,rank_country_size,creation_date,filename
Bakersfield,CA,California,United States,Pacific,2018,603526,372680,35.3536,-119.0369,25,03616043-416f-4f5b-9089-1be50475158b,179de003-95e0-4b56-9004-cd31981b7c9f,38.47,26.86,46.43,9.45,6.81,27.96,2.68,4.53,11.73,17.92,38.04,14.7,16.84,11.66,42.82,2.49,11.59,20.9,5.97,20.51,21,2284.7,577,large,,,,,,2018-01-29T07:32:00Z,CA_Bakersfield_v18.1.csv
Bakersfield,CA,California,United States,Pacific,2019,603526,375699,35.3536,-119.0369,25,03616043-416f-4f5b-9089-1be50475158b,679dfff5-23c9-46ef-a753-315b9169c65b,29.89,19.22,38.63,2.29,6.81,21.84,1.8,4.23,8.72,12.13,28.52,14.7,13.08,3.7,33.19,2.32,4.93,15.32,4.45,14.99,15,2259,697.8,large,,,,,,2019-02-14T09:39:00Z,CA_Bakersfield_v19.1.csv
Bakersfield,CA,California,United States,Pacific,2020,603526,377917,35.3536,-119.0369,25,03616043-416f-4f5b-9089-1be50475158b,c882e98f-cf7c-4fd9-b0be-94c9a226bd88,30,20.51,38.82,2.3,5.75,22.15,3.48,4.68,7.86,13.52,28.31,14.75,13.38,0.32,34.07,5.12,4.99,16.67,0.71,14.26,14,2250.1,720.3,large,,,,,,2020-02-19T13:03:00Z,CA_Bakersfield_v20.1.csv
Bakersfield,CA,California,United States,Pacific,2021,603526,379879,35.3536,-119.0369,25,03616043-416f-4f5b-9089-1be50475158b,f54afe75-9b39-4e6c-aff5-9df95b3bed3f,21.49,13.81,27.99,2.3,9.17,16.69,2.47,4.7,8.22,6.94,22.26,14.44,11.03,0.38,25.62,5.32,2.27,12.68,1.35,10.93,11,2129.3,868.7,large,,,,,,2021-02-24T22:03:00Z,CA_Bakersfield_v21.1.csv
Bakersfield,CA,California,United States,Pacific,2022,603526,398756,35.3536,-119.0369,25,03616043-416f-4f5b-9089-1be50475158b,91676b99-18fe-4eba-9d4b-029cf8a8f75f,21.13,13.43,27.66,2.3,9.17,16.45,2.47,4.62,8.22,6.91,21.12,16.96,11.12,0.38,25.53,5.08,2.27,12.56,1.16,10.8,11,2166.6,881.9,large,,,,,,2022-01-22T13:17:00Z,CA_Bakersfield_v22.1.csv
Bakersfield,CA,California,United States,Pacific,2023,603526,404321,35.3536,-119.0369,25,03616043-416f-4f5b-9089-1be50475158b,bce02b92-7f48-49b4-82da-2ed4f2491b14,21.36,14.56,28.58,23.57,8.97,19.25,2.47,5.12,8.21,7.25,21.46,17.26,11.33,4.47,27.72,6.29,8.02,15.29,4.18,12.91,13,2189,878.4,large,,,,,,2023-04-01T07:31:00Z,CA_Bakersfield_v23.1.csv
Bakersfield,CA,California,United States,Pacific,2023,603526,404321,35.3536,-119.0369,25,03616043-416f-4f5b-9089-1be50475158b,6756acdf-e227-4d70-a3e2-aa06b371943b,21.31,14.51,28.46,23.57,8.97,19.19,2.47,5.2,5.91,7.25,21.44,17.26,10.87,4.47,27.65,6.29,8.02,15.27,4.18,12.8,13,2188.4,881.2,large,,,,,,2023-08-19T08:11:00Z,CA_Bakersfield_v23.2.csv
Bakersfield,CA,California,United States,Pacific,2023,603526,404321,35.3536,-119.0369,25,03616043-416f-4f5b-9089-1be50475158b,af56fc20-1f17-48c9-bacd-2f4f86ffc584,21.31,14.51,28.47,23.57,8.97,19.19,2.47,5.2,5.91,7.25,21.44,17.26,10.87,3.53,27.73,6.26,8.02,15.29,4.18,12.66,13,2178.8,882.6,large,,,,,,2023-12-04T14:42:00Z,CA_Bakersfield_v23.3.csv
Bakersfield,CA,California,United States,Pacific,2024,603526,404321,35.3536,-119.0369,25,03616043-416f-4f5b-9089-1be50475158b,ec884e5e-a8d3-4cd9-9a4c-47b04693019a,21.5,14.62,28.72,23.57,8.97,19.32,2.47,5.2,5.91,7.95,21.87,20.43,11.52,8.04,28.04,6.26,8.02,15.41,4.18,13.54,14,2186.5,890.4,large,,,,,,2024-03-05T17:23:00Z,CA_Bakersfield_v24.1.csv
Baldwin Park,CA,California,United States,Pacific,2022,603666,72813,34.0828,-117.9713,25,9ff7e998-133e-40ce-8522-bb9716071aab,c536d31c-88f0-401d-a4eb-b0e79246fcf2,18.23,10.61,46.4,0,0,22.17,0,0.42,16.37,8.34,25.47,0,10.52,22.68,14.22,1.97,0,8.5,5.17,14.73,15,158.5,85.3,medium,,,,,,2022-10-12T12:52:00Z,CA_Baldwin Park_v22.1.csv
