city,state,state_full,country,region,year,census_fips_code,census_population,census_latitude,census_longitude,residential_speed_limit,bna_id,bna_uuid,bna_people,bna_opportunity_employment,bna_opportunity_k12_education,bna_opportunity_technical_vocational_college,bna_opportunity_higher_education,bna_opportunity,bna_core_services_doctors,bna_core_services_dentists,bna_core_services_hospitals,bna_core_services_pharmacies,bna_core_services_grocery,bna_core_services_social_services,bna_core_services,bna_retail,bna_recreation_parks,bna_recreation_trails,bna_recreation_community_centers,bna_recreation,bna_transit,bna_overall_score,bna_rounded_score,bna_total_low_stress_miles,bna_total_high_stress_miles,pop_size,rank,rank_size,rank_state,rank_country,rank_country_size,creation_date,filename
Norfolk,VA,Virginia,United States,South,2023,5157000,236973,36.923,-76.2446,25,7b3bab48-0bb5-4a5f-88ec-25ba670f8dd5,4b134aab-1859-4521-86ba-ac1e77255409,26.83,14.5,37.08,22,36.65,27.58,18.7,11,20.7,15.78,10,28.98,17.41,21.57,42.72,0,15.47,32.24,4.71,21.8,22,1314.9,500.7,medium,,,,,,2023-04-03T17:06:00Z,VA_Norfolk_v23.1.csv
Norfolk,VA,Virginia,United States,South,2023,5157000,236973,36.923,-76.2446,25,7b3bab48-0bb5-4a5f-88ec-25ba670f8dd5,01e9001e-1fee-4cfc-921c-91c4f3cc9aae,27.13,14.51,37.09,22,36.65,27.59,18.7,11.29,20.71,15.78,10,28.98,17.44,30.05,43,0,15.76,32.52,4.83,23.19,23,1314.5,499.1,medium,,,,,,2023-08-27T14:28:00Z,VA_Norfolk_v23.2.csv
Norfolk,VA,Virginia,United States,South,2023,5157000,236973,36.923,-76.2446,25,7b3bab48-0bb5-4a5f-88ec-25ba670f8dd5,3431b1ca-667f-43aa-83a4-3c997bc46e93,27.13,14.51,37.09,22,36.65,27.59,18.7,11.29,20.71,15.78,10,28.98,17.44,30.05,43,0,15.76,32.52,4.83,23.19,23,1314.5,499.1,medium,,,,,,2023-12-07T13:33:00Z,VA_Norfolk_v23.3.csv
Norfolk,VA,Virginia,United States,South,2024,5157000,236973,36.923,-76.2446,25,7b3bab48-0bb5-4a5f-88ec-25ba670f8dd5,f2b14183-0728-4fe1-a376-61de4443c99b,27.06,14.23,36.07,21,37.26,27.16,20.03,11.43,20.72,17.31,11.04,30.12,18.3,32.12,42.94,0,15.81,32.51,3.93,23.44,23,1318.5,494.6,medium,,,,,,2024-03-18T22:28:00Z,VA_Norfolk_v24.1.csv
Reston,VA,Virginia,United States,South,2021,5166672,61418,38.9498,-77.3462,25,3ef647d3-df3f-4867-a40c-0b41f1d08e2b,01de690b-56e9-4976-8ae7-c9109c740e51,30.71,17.79,47.86,0,0,32.83,29.68,19.45,15.36,16.55,40.11,26.18,26.56,40.18,70.04,48.71,25.93,51.55,10.93,31.88,32,343.4,138.8,medium,,,,,,2021-02-26T16:34:00Z,VA_Reston_v21.1.csv
Reston,VA,Virginia,United States,South,2022,5166672,62453,38.9498,-77.3462,25,3ef647d3-df3f-4867-a40c-0b41f1d08e2b,d081650a-5782-4e36-8ac6-44eb23250c69,30.34,18.1,47.72,6.51,0,29.61,31.47,17.62,15.46,16.56,39.12,26.28,26.53,38.47,71.34,49.41,25.76,52.27,9.25,30.78,31,355.3,136.1,medium,,,,,,2022-01-24T10:56:00Z,VA_Reston_v22.2.csv
Reston,VA,Virginia,United States,South,2023,5166672,62339,38.9498,-77.3462,25,3ef647d3-df3f-4867-a40c-0b41f1d08e2b,51482adb-7b7d-45f9-be31-abd4d5711ccc,30.79,18.16,46.95,6.51,0,29.3,31.01,21.5,15.46,16.56,39.27,23.91,26.5,38.18,71.14,48.98,26.39,52.2,9.25,30.72,31,358.9,136.8,medium,,,,,,2023-04-03T17:06:00Z,VA_Reston_v23.1.csv
Reston,VA,Virginia,United States,South,2023,5166672,62339,38.9498,-77.3462,25,3ef647d3-df3f-4867-a40c-0b41f1d08e2b,872717d1-5b30-4c68-926f-82449b29d471,30.36,17.34,47.57,6.51,0,29.21,29.78,19.73,13.46,16.35,40.03,21.22,25.45,37.98,70.8,49.05,26.39,52.09,9.25,30.38,30,358.8,137.1,medium,,,,,,2023-08-27T14:28:00Z,VA_Reston_v23.2.csv
Reston,VA,Virginia,United States,South,2023,5166672,62339,38.9498,-77.3462,25,3ef647d3-df3f-4867-a40c-0b41f1d08e2b,fba500a8-68d3-4e2f-b94a-4359e0ace724,29.85,17.37,47.66,6.51,0,29.26,29.6,20.65,13.46,18.42,38.31,21.18,25.27,38.61,70.68,48.88,24.66,51.55,9.3,30.3,30,360.4,137.1,medium,,,,,,2023-12-07T13:33:00Z,VA_Reston_v23.3.csv
Reston,VA,Virginia,United States,South,2024,5166672,62339,38.9498,-77.3462,25,3ef647d3-df3f-4867-a40c-0b41f1d08e2b,523366c5-8f5f-4956-93c1-56b648156480,29.79,17.35,50.98,6.51,0,30.71,29.6,20.65,13.46,19.53,38.31,21.46,25.43,45.58,70.79,48.99,24.66,51.63,9.3,31.67,32,359,138.5,medium,,,,,,2024-03-18T22:28:00Z,VA_Reston_v24.1.csv
