city,state,state_full,country,region,year,census_fips_code,census_population,census_latitude,census_longitude,residential_speed_limit,bna_id,bna_uuid,bna_people,bna_opportunity_employment,bna_opportunity_k12_education,bna_opportunity_technical_vocational_college,bna_opportunity_higher_education,bna_opportunity,bna_core_services_doctors,bna_core_services_dentists,bna_core_services_hospitals,bna_core_services_pharmacies,bna_core_services_grocery,bna_core_services_social_services,bna_core_services,bna_retail,bna_recreation_parks,bna_recreation_trails,bna_recreation_community_centers,bna_recreation,bna_transit,bna_overall_score,bna_rounded_score,bna_total_low_stress_miles,bna_total_high_stress_miles,pop_size,rank,rank_size,rank_state,rank_country,rank_country_size,creation_date,filename
Wakefield,MA,Massachusetts,United States,New England,2023,2572250,27054,42.5044,-71.0641,30,b87418b4-48fe-4e72-84bc-bcfc0333b7c8,853f6600-0f47-4bff-9e67-36cd739c2792,8.45,5.62,15.66,0,0,10.64,1.48,4.01,0,5.32,6.2,1.09,2.94,1.9,37.16,0,4.78,24.71,2.62,8.37,8,20.9,198.3,small,,,,,,2023-08-22T08:43:00Z,MA_Wakefield_v23.2.csv
Wakefield,MA,Massachusetts,United States,New England,2023,2572250,27054,42.5044,-71.0641,30,b87418b4-48fe-4e72-84bc-bcfc0333b7c8,7349415a-3569-46c2-a17c-f11822ecb36c,8.68,6.08,16.51,0,0,11.3,1.48,4.01,0,6.45,8.1,1.09,3.53,1.9,38.28,0,4.78,25.4,2.62,8.76,9,27,198.6,small,,,,,,2023-12-06T14:47:00Z,MA_Wakefield_v23.3.csv
Wakefield,MA,Massachusetts,United States,New England,2024,2572250,27054,42.5044,-71.0641,30,b87418b4-48fe-4e72-84bc-bcfc0333b7c8,227fad7d-ce7b-42a9-bd3d-e99e7fb15018,8.53,6.05,17.43,0,0,11.74,1.48,4.01,0,6.61,8.1,1.09,3.55,20.32,37.62,0,2.09,23.95,2.62,11.37,11,25.6,201.8,small,,,,,,2024-03-10T14:51:00Z,MA_Wakefield_v24.1.csv
Waltham,MA,Massachusetts,United States,New England,2021,2572600,62597,42.3889,-71.2423,30,6839c8b7-09a9-4d5a-882f-9548a9fcc05f,4aefc6e0-a75d-48b7-b757-580dd5fceff0,7,4.48,14.95,0,10.71,9.94,3.26,1.11,3.08,7.38,6.33,2.34,4.05,4.81,21.16,0,0,13.02,2.28,6.86,7,67.6,319.4,medium,,,,,,2021-07-15T08:54:00Z,MA_Waltham_v21.1.csv
Waltham,MA,Massachusetts,United States,New England,2022,2572600,64655,42.3889,-71.2423,30,6839c8b7-09a9-4d5a-882f-9548a9fcc05f,e0807877-1564-42d5-acc8-0d300a9242e6,6.87,4.41,14.98,0,10.71,9.92,3.26,1.13,3.08,7.38,5.16,2.34,3.76,7.11,21.29,0,0,13.1,2.28,7.14,7,67.8,319.9,medium,,,,,,2022-01-23T10:33:00Z,MA_Waltham_v22.1.csv
Waltham,MA,Massachusetts,United States,New England,2023,2572600,64711,42.3889,-71.2423,30,6839c8b7-09a9-4d5a-882f-9548a9fcc05f,160145b5-7d7d-4970-900b-a2b1a970ffc9,6.91,4.51,14.91,0,11.12,10.02,3.26,1.27,3.08,7.5,5.57,2.92,3.98,6.91,22.37,0,0,13.77,2.25,7.28,7,87.9,311.8,medium,,,,,,2023-04-02T10:05:00Z,MA_Waltham_v23.1.csv
Waltham,MA,Massachusetts,United States,New England,2023,2572600,64711,42.3889,-71.2423,30,6839c8b7-09a9-4d5a-882f-9548a9fcc05f,86d340c7-1eab-4366-b4a6-8af42772dd88,6.92,4.52,14.09,0,11.12,9.71,3.26,1.95,3.08,8.08,5.93,2.04,4.06,6.91,22.37,0,0,13.77,2.25,7.23,7,89.5,311,medium,,,,,,2023-08-22T08:43:00Z,MA_Waltham_v23.2.csv
Waltham,MA,Massachusetts,United States,New England,2023,2572600,64711,42.3889,-71.2423,30,6839c8b7-09a9-4d5a-882f-9548a9fcc05f,59abd9d3-39df-4db5-a8ff-b85a5926d874,7,4.81,13.96,0,11.75,9.91,3.26,1.95,3.08,8.08,6.78,2.04,4.27,7.41,22.62,0,0,13.92,2.16,7.41,7,92.9,311.4,medium,,,,,,2023-12-06T14:47:00Z,MA_Waltham_v23.3.csv
Waltham,MA,Massachusetts,United States,New England,2024,2572600,64711,42.3889,-71.2423,30,6839c8b7-09a9-4d5a-882f-9548a9fcc05f,fc07f78a-8d3c-475c-90ca-6953f15815e0,7.05,4.81,14.25,0,11.75,10.02,2.96,1.95,2.98,8.04,6.78,2.04,4.19,16.07,21.8,0,0,13.42,2.16,8.65,9,101.8,311.5,medium,,,,,,2024-03-10T14:51:00Z,MA_Waltham_v24.1.csv
Wareham Center,MA,Massachusetts,United States,New England,2024,2573020,2654,41.7475,-70.7201,30,3669edbd-b80b-4d36-a940-6ebef7094343,76c247bd-34eb-4b50-bd30-3e828eba2930,17.19,9.91,24.51,0,0,17.21,0,0,12.15,0,0,0,3.74,4.76,39.25,0,0,39.25,7.47,14.49,14,2.1,41.7,small,,,,,,2024-03-10T14:51:00Z,MA_Wareham Center_v24.1.csv
