city,state,state_full,country,region,year,census_fips_code,census_population,census_latitude,census_longitude,residential_speed_limit,bna_id,bna_uuid,bna_people,bna_opportunity_employment,bna_opportunity_k12_education,bna_opportunity_technical_vocational_college,bna_opportunity_higher_education,bna_opportunity,bna_core_services_doctors,bna_core_services_dentists,bna_core_services_hospitals,bna_core_services_pharmacies,bna_core_services_grocery,bna_core_services_social_services,bna_core_services,bna_retail,bna_recreation_parks,bna_recreation_trails,bna_recreation_community_centers,bna_recreation,bna_transit,bna_overall_score,bna_rounded_score,bna_total_low_stress_miles,bna_total_high_stress_miles,pop_size,rank,rank_size,rank_state,rank_country,rank_country_size,creation_date,filename
Shorewood,IL,Illinois,United States,Midwest,2021,1769758,17303,41.5175,-88.2152,30,7f28d03b-c817-42f0-9653-ad072a794fba,c332a37c-e946-48db-b377-cd488059be5b,15.67,13.24,14.76,2.19,0,12.52,5.98,0,0,0,9.05,0,6.29,15.68,32.49,4.09,0,19.24,0,13.35,13,21.7,184.1,small,,,,,,2021-07-15T08:54:00Z,IL_Shorewood_v21.1.csv
Shorewood,IL,Illinois,United States,Midwest,2022,1769758,17947,41.5175,-88.2152,30,7f28d03b-c817-42f0-9653-ad072a794fba,b014be4d-51f8-4ef9-ab0a-0acd5b2655f3,15.68,13.24,14.76,2.19,0,12.52,5.98,0,0,14.16,9.05,0,8.86,15.68,32.49,4.05,0,19.22,0,13.96,14,21.8,184.4,small,,,,,,2022-01-23T09:18:00Z,IL_Shorewood_v22.1.csv
Shorewood,IL,Illinois,United States,Midwest,2023,1769758,18109,41.5175,-88.2152,30,7f28d03b-c817-42f0-9653-ad072a794fba,775862c1-9b4b-439d-89f4-62512be1b792,16.52,17.08,16.86,2.19,0,15.12,0,0,0,14.16,16.97,0,10.29,17.95,32.25,4.04,0,19.09,0,15.43,15,28,183.9,small,,,,,,2023-04-01T19:10:00Z,IL_Shorewood_v23.1.csv
Shorewood,IL,Illinois,United States,Midwest,2023,1769758,18109,41.5175,-88.2152,30,7f28d03b-c817-42f0-9653-ad072a794fba,bac52e8c-81b0-4e5c-9907-210b6b680c14,16.6,17.24,17.04,2.19,0,15.27,3.87,0,0,14.16,16.97,0,11.7,18.28,32.29,4.56,0,19.35,0,15.92,16,33.7,183.4,small,,,,,,2023-08-21T15:17:00Z,IL_Shorewood_v23.2.csv
Shorewood,IL,Illinois,United States,Midwest,2023,1769758,18109,41.5175,-88.2152,30,7f28d03b-c817-42f0-9653-ad072a794fba,5c8b6932-4948-4757-b0de-f5e10b7f9399,16.6,17.24,17.04,2.19,0,15.27,3.87,0,0,14.16,16.97,0,11.7,18.28,32.29,4.56,0,19.35,0,15.92,16,33.7,183.5,small,,,,,,2023-12-05T08:31:00Z,IL_Shorewood_v23.3.csv
Shorewood,IL,Illinois,United States,Midwest,2024,1769758,18109,41.5175,-88.2152,30,7f28d03b-c817-42f0-9653-ad072a794fba,37704ad9-a386-41f7-9a81-1045bd636784,17.32,17.83,17.08,2.19,0,15.55,3.87,0,0,14.29,16.97,0,11.72,33.12,32.36,4.56,7.12,16.32,0,18.2,18,35.8,183.4,small,,,,,,2024-03-05T15:00:00Z,IL_Shorewood_v24.1.csv
Silvis,IL,Illinois,United States,Midwest,2024,1769979,7936,41.4977,-90.4101,30,a711767d-f608-40f9-af1d-e9e3ef7a6eeb,93a9c2d4-4989-4447-9c26-4f285736acd9,10.82,7.14,13.65,0,0,9.1,0,0,12.02,0,14.63,8.48,10.48,23.05,39.74,0,3.29,16.72,0.5,11.58,12,18.3,76.8,small,,,,,,2024-03-20T17:08:00Z,IL_Silvis_v24.1.csv
Skokie,IL,Illinois,United States,Midwest,2023,1770122,67076,42.036,-87.74,30,09486f14-8faa-4d6e-bf0a-58cd80027deb,306b133b-e240-4bce-8c26-936d00a28703,2.13,2.74,7.42,4.43,0,4,1.81,2.3,3.4,1.34,4.54,3.53,3.07,15.49,15.08,2.12,0.48,6.89,1.68,5.34,5,44.4,349.2,medium,,,,,,2023-08-21T15:17:00Z,IL_Skokie_v23.1.csv
Skokie,IL,Illinois,United States,Midwest,2023,1770122,67076,42.036,-87.74,30,09486f14-8faa-4d6e-bf0a-58cd80027deb,a6493cdc-9e5b-4dcd-b1ec-cca1b1a9ad4d,2.14,2.75,7.42,4.6,0,4.02,1.81,2.41,3.4,1.34,4.64,3.53,3.11,15.5,15.62,3.2,0.48,7.49,1.68,5.45,5,46.2,349,medium,,,,,,2023-12-05T08:31:00Z,IL_Skokie_v23.2.csv
Skokie,IL,Illinois,United States,Midwest,2024,1770122,67076,42.036,-87.74,30,09486f14-8faa-4d6e-bf0a-58cd80027deb,06f3eb1c-a1b8-460f-889d-9f538d562f5a,2.14,2.75,7.57,4.6,0,4.07,1.63,2.41,3.4,1.37,4.64,3.54,3.08,17.85,15.71,3.2,0.48,7.52,1.68,5.81,6,46.3,349,medium,,,,,,2024-03-05T15:00:00Z,IL_Skokie_v24.1.csv
