city,state,state_full,country,region,year,census_fips_code,census_population,census_latitude,census_longitude,residential_speed_limit,bna_id,bna_uuid,bna_people,bna_opportunity_employment,bna_opportunity_k12_education,bna_opportunity_technical_vocational_college,bna_opportunity_higher_education,bna_opportunity,bna_core_services_doctors,bna_core_services_dentists,bna_core_services_hospitals,bna_core_services_pharmacies,bna_core_services_grocery,bna_core_services_social_services,bna_core_services,bna_retail,bna_recreation_parks,bna_recreation_trails,bna_recreation_community_centers,bna_recreation,bna_transit,bna_overall_score,bna_rounded_score,bna_total_low_stress_miles,bna_total_high_stress_miles,pop_size,rank,rank_size,rank_state,rank_country,rank_country_size,creation_date,filename
St. Cloud,MN,Minnesota,United States,Midwest,2024,2756896,68910,45.5267,-94.171,30,8bf645b1-a6ab-4207-b897-f06ed0cdc6cf,8e1b6c6b-0d49-444e-80ab-1a77f4a44da3,12.46,9.44,7.77,7.51,15.85,9.94,6.2,0.46,5.73,1.59,2.31,0,3.73,10.57,27.15,14.53,0.41,16.05,5.45,9.41,9,151.1,665.7,medium,,,,,,2024-03-11T17:02:00Z,MN_St. Cloud_v24.1.csv
St. Louis Park,MN,Minnesota,United States,Midwest,2020,2757220,48677,44.9487,-93.365,30,3e94c463-1ba2-4666-9a34-e2129176e100,41731ae8-2434-4c4c-84d0-bb415728fa40,11.91,11.19,19.86,0,0,15.53,10.8,9.48,3.86,6.95,13.26,0,7.89,28.52,40.02,22.25,4.69,24.97,7.85,15.67,16,64.8,340.9,small,,,,,,2020-03-30T09:09:00Z,MN_St. Louis Park_v20.1.csv
St. Louis Park,MN,Minnesota,United States,Midwest,2021,2757220,48874,44.9487,-93.365,30,3e94c463-1ba2-4666-9a34-e2129176e100,4a72795b-2c4e-4cb1-b08f-2a1be851f45b,12.31,11.75,20.05,0,0,15.9,10.84,10.61,3.81,7.36,13.7,8.16,9.38,29.75,40.81,23.01,4.7,25.55,7.73,16.36,16,71,340.5,small,,,,,,2021-02-25T23:01:00Z,MN_St. Louis Park_v21.1.csv
St. Louis Park,MN,Minnesota,United States,Midwest,2022,2757220,49539,44.9487,-93.365,20,3e94c463-1ba2-4666-9a34-e2129176e100,486d98c2-f4f2-4286-8327-9a4f12c171ef,42.18,32.1,48.19,0,0,40.15,46.74,41.01,11.73,17.75,43.48,28.88,32.77,64.48,72.9,64.92,29.96,59.37,8.39,40.75,41,322.8,112.8,small,,,,,,2022-01-23T20:09:00Z,MN_St. Louis Park_v22.1.csv
St. Louis Park,MN,Minnesota,United States,Midwest,2022,2757220,49539,44.9487,-93.365,20,3e94c463-1ba2-4666-9a34-e2129176e100,64d8806d-fb3b-4621-9c65-91d4d91db131,42.57,36.17,47.47,0,0,41.82,46.56,40.27,25.07,17.75,45.58,28.88,35.86,64.12,73.43,63.83,29.64,59.12,21.7,43.66,44,327.1,112.1,small,,,,,,2022-01-28T07:10:00Z,MN_St. Louis Park_v22.2.csv
St. Louis Park,MN,Minnesota,United States,Midwest,2023,2757220,49500,44.9487,-93.365,20,3e94c463-1ba2-4666-9a34-e2129176e100,dc7d5fb0-daee-4df5-a60d-4a2ac2d1a756,52.1,47.58,60.45,0,0,54.02,51.1,63.44,42.41,30.18,58.54,62.23,52.03,65.03,76.4,76.69,36.03,66.41,46.7,55.75,56,343.8,104,small,,,,,,2023-04-02T21:37:00Z,MN_St. Louis Park_v23.1.csv
St. Louis Park,MN,Minnesota,United States,Midwest,2023,2757220,49500,44.9487,-93.365,20,3e94c463-1ba2-4666-9a34-e2129176e100,886c864f-e3cf-4215-87f3-ca1e7053f50d,54.38,49.11,62.73,0,0,55.92,50.25,63.94,47.55,31.24,59.78,63.11,53.49,64.97,76.54,83.25,36.14,68.79,47.2,57.18,57,351.2,103.5,small,,,,,,2023-08-24T10:29:00Z,MN_St. Louis Park_v23.2.csv
St. Louis Park,MN,Minnesota,United States,Midwest,2023,2757220,49500,44.9487,-93.365,20,3e94c463-1ba2-4666-9a34-e2129176e100,93a9a790-44cd-4e59-b0cd-e7cbe5bd4bf6,47.55,44.61,56.79,0,0,50.7,45.32,61,38.18,28.95,56.1,58.77,48.54,63.15,74.68,78.54,23.49,63.23,43.72,52.5,52,343.9,103.3,small,,,,,,2023-12-05T08:23:00Z,MN_St. Louis Park_v23.3.csv
St. Louis Park,MN,Minnesota,United States,Midwest,2024,2757220,49500,44.9487,-93.365,20,3e94c463-1ba2-4666-9a34-e2129176e100,a273a2fb-3d95-402c-ad15-572e71b4ae0b,48.76,45.96,61.08,0,0,53.52,49.46,61.83,38.42,29.02,55.86,59.12,49.49,73.07,75.22,82.86,23.51,64.97,44.54,55.3,55,344.8,102.5,small,,,,,,2024-03-11T17:02:00Z,MN_St. Louis Park_v24.1.csv
St. Paul,MN,Minnesota,United States,Midwest,2017,2758000,297160,44.9489,-93.1041,25,29483bd9-44b1-4441-afc8-e4a625c0c9e4,ccb2119c-a5da-4f78-a0ea-c47ca492f3f6,46.3,33.31,54.15,40.49,34.49,41.56,26.67,28.93,13.6,30.97,50.85,25.57,30.59,29.59,66.91,41.34,27.38,48.08,25.47,36.5,36,0,0,medium,,,,,,2017-05-02T07:26:00Z,MN_St. Paul_v17.1.csv
