city,state,state_full,country,region,year,census_fips_code,census_population,census_latitude,census_longitude,residential_speed_limit,bna_id,bna_uuid,bna_people,bna_opportunity_employment,bna_opportunity_k12_education,bna_opportunity_technical_vocational_college,bna_opportunity_higher_education,bna_opportunity,bna_core_services_doctors,bna_core_services_dentists,bna_core_services_hospitals,bna_core_services_pharmacies,bna_core_services_grocery,bna_core_services_social_services,bna_core_services,bna_retail,bna_recreation_parks,bna_recreation_trails,bna_recreation_community_centers,bna_recreation,bna_transit,bna_overall_score,bna_rounded_score,bna_total_low_stress_miles,bna_total_high_stress_miles,pop_size,rank,rank_size,rank_state,rank_country,rank_country_size,creation_date,filename
San Rafael,CA,California,United States,Pacific,2023,668364,60891,37.981,-122.5069,25,6533586c-3d8a-48f8-94e6-cac64dfee2ce,4c4b8f2e-6491-4a80-a509-15f4fb1f53c6,33.4,27.9,43.9,0,15.22,28.17,11.97,11.14,19.27,11.2,47.23,18.01,22.99,45.14,56.01,10.43,19.54,30.94,18.21,29.39,29,382.6,84.3,medium,,,,,,2023-12-04T14:42:00Z,CA_San Rafael_v23.3.csv
San Rafael,CA,California,United States,Pacific,2024,668364,60891,37.981,-122.5069,25,6533586c-3d8a-48f8-94e6-cac64dfee2ce,95b1362d-5b8e-4716-93af-fde69d25d29a,33.47,27.92,44.28,0,15.22,28.31,18.61,11.14,16.77,15.35,47.23,18.13,24.25,47.15,58.18,10.27,19.61,31.77,18.24,30.11,30,383.6,84,medium,,,,,,2024-03-05T17:22:00Z,CA_San Rafael_v24.1.csv
San Ramon,CA,California,United States,Pacific,2021,668378,81344,37.7653,-121.932,25,48437bd5-29db-415e-b911-4fcb07c1c498,d915cd1c-83bd-4224-a52b-ec2d770ce0fd,32.57,25.34,41.56,16.2,0,31.29,4,5.4,18.21,6.34,25.09,20.63,14.98,20.13,57.28,38.64,14.49,40.06,12.46,25.04,25,457.1,111.1,medium,,,,,,2021-06-30T12:45:00Z,CA_San Ramon_v21.1.csv
San Ramon,CA,California,United States,Pacific,2022,668378,85688,37.7653,-121.932,25,48437bd5-29db-415e-b911-4fcb07c1c498,30bce143-b450-44da-99c3-abcf97491fba,31.83,23.94,40.11,16.2,0,30.05,4,5.4,18.21,13.41,24.89,13.05,14.5,19.9,58.56,38.08,17.58,41.15,12.46,24.71,25,456.4,111,medium,,,,,,2022-01-22T12:26:00Z,CA_San Ramon_v22.1.csv
San Ramon,CA,California,United States,Pacific,2022,668378,85688,37.7653,-121.932,25,48437bd5-29db-415e-b911-4fcb07c1c498,02091303-bdd4-47ce-b839-a30fe0b0b73f,30.17,23.19,38.98,16.2,0,29.22,4.14,5.4,14.47,10.42,22.28,13.05,12.83,18.53,57.78,35.27,15.08,39.23,12.46,23.47,23,446.4,111,medium,,,,,,2022-01-22T13:18:00Z,CA_San Ramon_v22.2.csv
San Ramon,CA,California,United States,Pacific,2023,668378,86119,37.7653,-121.932,25,48437bd5-29db-415e-b911-4fcb07c1c498,15f9ed44-3b7c-4a76-bd76-ec8f04d318e4,35.49,28.93,42.37,41.01,0,36.32,11.49,24.51,18.73,13.6,32.71,19.45,20.95,28.7,63.21,37.75,28.75,45.68,15.55,30.27,30,463.6,111.7,medium,,,,,,2023-04-01T07:31:00Z,CA_San Ramon_v23.1.csv
San Ramon,CA,California,United States,Pacific,2023,668378,86119,37.7653,-121.932,25,48437bd5-29db-415e-b911-4fcb07c1c498,02637a50-df66-44ec-ab59-1c282e8fc7fc,34.38,28.34,41.45,39.08,0,35.42,10.98,24.2,18.73,13.6,32.71,18.43,20.66,28.01,63.16,35.05,27.96,44.52,15.55,29.59,30,462.8,112.8,medium,,,,,,2023-08-19T08:11:00Z,CA_San Ramon_v23.2.csv
San Ramon,CA,California,United States,Pacific,2023,668378,86119,37.7653,-121.932,25,48437bd5-29db-415e-b911-4fcb07c1c498,68a616a7-2dc5-4d18-b8b6-8247ad93541d,34.56,28.44,41.87,39.08,0,35.65,11.22,24.7,18.73,14.26,33.41,19.43,21.15,28.22,63.31,34.96,27.96,44.55,15.55,29.79,30,464.2,112.8,medium,,,,,,2023-12-04T14:42:00Z,CA_San Ramon_v23.3.csv
San Ramon,CA,California,United States,Pacific,2024,668378,86119,37.7653,-121.932,25,48437bd5-29db-415e-b911-4fcb07c1c498,aff1f582-609b-4369-8988-9211335ddf23,34.61,28.48,51.1,39.08,0,39.7,17.13,25.64,18.73,26.79,33.59,19.71,23.77,31.29,63.51,34.96,28.18,44.69,15.55,31.62,32,464.9,112.8,medium,,,,,,2024-03-05T17:23:00Z,CA_San Ramon_v24.1.csv
Sanger,CA,California,United States,Pacific,2024,667056,26553,36.699,-119.5575,25,45ff479f-85ae-4f15-88bc-68903c22d63e,611a5aac-0425-4cac-87ef-f05ab8049061,61.27,58.61,65.85,0,0,62.23,0,0,0,24.59,35.43,66.56,42.6,49.3,75.73,0,57.94,68.89,0,56.34,56,153.2,26.6,small,,,,,,2024-03-20T09:10:00Z,CA_Sanger_v24.1.csv
