city,state,country,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aurora,TX,US,,,,,,28,27,22,22
Austin,MN,US,,,,,,,,18,19
Austin,TX,US,22,26,12,12,30,30,33,34,36
Aventura,FL,US,12,12,10,9,9,9,8,8,8
Avon,CO,US,,,,,,27,26,25,27
Avon,IN,US,,,,,,,11,11,13
Avon Lake,OH,US,,,,,,,35,38,38
Avondale,AZ,US,19,16,16,17,17,22,24,25,24
Avondale Estates,GA,US,,,,,,5,6,8,8
Awendaw,SC,US,,,,,,,,31,31
Ayer,MA,US,,,,,,,11,11,28
Azle,TX,US,,,,,,10,11,11,11
Azusa,CA,US,,,,,,,,,18
Baghdad,(NA),IQ,,,,,,,46,48,47
Bainbridge Island,WA,US,,,,,,,28,29,28
Bakersfield,CA,US,22,21,15,14,11,11,13,14,14
Bakewell,(NA),GB,,,,,,,,52,52
Balch Springs,TX,US,,,,,,9,21,22,23
Baldwin Park,CA,US,,,,,,15,15,21,26
Baldwinsville,NY,US,,,,,,,,20,20
Ballarat,VIC,AU,,,,,,28,,30,33
Ballston Spa,NY,US,,,,,,,,9,9
Balltown,IA,US,,,,,,,67,67,65
Ballwin,MO,US,,,,,25,24,30,31,32
Baltimore,MD,US,22,27,23,24,14,30,32,33,41
Bandon,OR,US,,,,,,,57,55,55
Bangor,ME,US,,32,32,34,31,32,30,33,31
Baraboo,WI,US,,,,,,,61,61,61
Barberton,OH,US,,15,16,16,16,16,23,24,26
Barcelona,(NA),ES,,,,,85,79,74,79,79
Barking and Dagenham,(NA),GB,,,,,,33,,60,61
Barnesville,GA,US,,,,,,,,,9
Barnet,(NA),GB,,,,,,20,,50,51
Barneveld,GE,NL,,,,,,,,,48
Barnstable,MA,US,,,,,,,9,9,12
Barra Mansa,(NA),BR,,,,,,,,,41
Barre,VT,US,,,,,,,,,31
Barrie,ON,CA,,,,,34,36,35,36,35
Barrington,IL,US,,,,,,7,8,8,8
Barrington,RI,US,,,,,29,20,23,23,23
Bartlesville,OK,US,,,,,24,24,22,23,24
Bartlett,IL,US,,,,,15,16,17,17,17
Bartlett,TN,US,,19,17,17,17,17,17,19,20
Bartonville,TX,US,,,,,,24,24,27,30
Bastrop,TX,US,,,,,9,8,9,10,13
Batavia,IL,US,39,41,50,12,12,12,12,13,13
Batemans Bay,NSW,AU,,,,,,30,,33,35
Bath,(NA),GB,,,,,,,,66,69
Bath,NY,US,,,,,,,,10,10
Bathurst,NSW,AU,,,,,,,30,32,32
Baton Rouge,LA,US,19,20,20,25,21,19,21,22,22
Battle Creek,MI,US,,,,,,,38,42,40
Bay City,MI,US,,,,,,,42,44,43
Bay Village,OH,US,,,,,,,,,18
Bayamón,PR,US,,,,,,,,,32
