city,state,country,2017,2018,2019,2020,2021,2022,2023,2024,2025
Columbus,NE,US,,,,,,,20,21,21
Columbus,OH,US,28,28,30,30,25,26,25,27,25
Combine,TX,US,,,,,,23,23,24,24
Combined Locks,WI,US,,,,,,,21,21,24
Commerce,CA,US,,,,,,,,17,16
Commerce,MI,US,21,18,18,20,20,21,23,25,25
Commerce,TX,US,,,,,,12,12,11,11
Commerce City,CO,US,,,,,,13,15,17,16
Concord,CA,US,,,,,,,,32,32
Concord,NC,US,19,19,11,11,12,12,11,12,12
Concord,NH,US,,26,11,11,13,14,14,16,16
Confluence,PA,US,,,,,,,,41,41
Conroe,TX,US,,,,,,,,,15
Conway,AR,US,,23,19,7,21,19,17,20,26
Conyers,GA,US,,,,,11,11,11,13,13
Cookeville,TN,US,,,,,,,,30,30
Coon Rapids,MN,US,,,,,,,18,18,18
Cooperstown,NY,US,,,,,17,17,19,19,19
Coppell,TX,US,,,,,9,14,31,32,31
Copper Canyon,TX,US,,,,,,20,22,26,26
Copperas Cove,TX,US,,,,,,,12,12,11
Coquitlam,BC,CA,,,,,35,38,40,42,43
Coral Gables,FL,US,,,,,,,11,12,13
Corinth,TX,US,,,,,,15,22,23,23
Cork,(NA),IE,,,,,,,,,46
Cornelius,OR,US,,,,,,,,34,37
Corning,NY,US,,,,,,,,5,5
Cornish,ME,US,,,,,,45,29,30,26
Cornwall-on-Hudson,NY,US,,,,,,,,22,22
Corona,CA,US,,,,,,,16,15,15
Coronado,CA,US,,,,,,,44,45,45
Corpus Christi,TX,US,,16,17,8,8,8,8,9,9
Corsicana,TX,US,,,,,,10,10,12,12
Corte Madera,CA,US,,,,,31,32,34,35,34
Corvallis,OR,US,,,38,30,37,58,66,70,71
Costa Mesa,CA,US,,,,,15,11,11,16,17
Cottonwood,AZ,US,,,,,,,21,24,21
Cottonwood Heights,UT,US,,,,20,22,22,24,24,22
Council Bluffs,IA,US,,,,,29,30,38,44,41
Coupeville,WA,US,,,,,,,,64,65
Courtenay,BC,CA,,,,,32,36,36,44,43
Coventry,(NA),GB,,,,,,31,21,47,49
Covington,GA,US,,,,,,12,11,12,14
Covington,KY,US,,,,,,,22,22,22
Cranberry,PA,US,,,,,24,23,25,28,27
Crandall,TX,US,,,,,,14,14,15,15
Cranston,RI,US,,27,26,26,27,14,16,18,18
Creedmoor,NC,US,,,,,,,,17,17
Cresskill,NJ,US,,,,,,20,21,23,26
Cresson,TX,US,,,,,,28,28,28,28
Crested Butte,CO,US,,88,29,88,89,87,87,87,87
Crestline,CA,US,,,,,,,43,43,39
Crestline,OH,US,,,,,34,34,37,37,37
Crewe,VA,US,,,,,,,,25,24
Crockett,CA,US,,,,,,,,22,23
Crofton,MD,US,,,,,23,23,25,27,27
Crosby,MN,US,,,,,,,16,13,15
Cross Roads,TX,US,,,,,,14,14,14,15
Crowley,TX,US,,,,,,10,12,12,12
Crown Point,IN,US,36,38,38,9,9,8,8,8,8
Croydon,(NA),GB,,,,,,42,,67,68
Crystal City,MO,US,,,,,,,,10,10
Crystal Lake,IL,US,,,,,6,6,7,8,9
Culver City,CA,US,,,,13,25,29,28,30,29
Cumberland,MD,US,,,,,4,4,4,5,5
Cumberland Hill,RI,US,,,,,,,,13,13
Cumming,GA,US,,,,,,,,24,26
Cupertino,CA,US,,,,24,27,26,26,27,28
Curitiba,(NA),BR,,,,,,,,,48
Cutler Bay,FL,US,,,,,,,13,14,15
Cuyahoga Falls,OH,US,,,,,,27,29,30,34
Dacono,CO,US,,,,,,15,15,14,13
Dahlonega,GA,US,,,,,,,23,28,27
Dallas,GA,US,,,,,15,14,14,17,17
Dallas,TX,US,19,19,17,7,7,8,10,11,12
Dallas - Central,TX,US,,,,,,,,8,
Dalworthington Gardens,TX,US,,,,,,9,10,10,10
Damascus,MD,US,,,,,,32,34,35,35
Dana Point,CA,US,,,,,,18,21,23,23
Dania Beach,FL,US,,,,,,,6,7,9
Danville,CA,US,,,,,32,33,36,37,37
Danville,IL,US,,,,,,,6,6,6
Danville,KY,US,19,28,11,11,11,11,11,11,11
Darien,CT,US,,,,,,,9,9,9
Darwin,NT,AU,,,,,,36,,38,38
Davenport,CA,US,,,,72,69,65,65,65,65
Davenport,IA,US,,26,26,22,29,32,32,32,28
Davie,FL,US,,,,,,13,19,20,20
Davis,CA,US,72,72,71,71,70,76,78,78,81
Dawsonville,GA,US,,,,,,,,,31
Dayton,OH,US,,19,18,25,28,28,28,29,28
Dayton,TN,US,,,,,,,,,30
Daytona Beach,FL,US,,,,,,,10,12,11
De Queen,AR,US,,,,,,,,11,11
De Soto,KS,US,,,,,,,,28,27
DeCordova,TX,US,,,,,,9,9,9,9
DeLand,FL,US,,,,,,,6,7,7
DeSoto,TX,US,,,,,,10,12,13,13
DeWitt,MI,US,,,,,,,56,56,55
Deadwood,SD,US,,,,,,,,,33
Dearborn,MI,US,,,,,,,36,36,37
Decatur,AL,US,,26,26,26,26,24,25,25,24
Decatur,GA,US,,,,10,10,12,14,15,15
Decatur,IL,US,,,,7,7,6,6,5,5
Decatur,TX,US,,,,,,10,12,13,13
Decorah,IA,US,,,,,,,,51,51
Dedham,MA,US,,,,,,6,7,8,12
Deer Park,NY,US,,,,,,,,3,3
Deer Trail,CO,US,,,,,,55,55,55,59
Deerfield,IL,US,,,,,7,7,8,8,9
Deerfield Beach,FL,US,,,,,,,13,20,20
Deinze,(NA),BE,,,,66,,64,64,65,67
Delafield,WI,US,,,,,,,29,29,29
Delaware,OH,US,27,25,23,29,35,39,37,40,40
Delft,ZH,NL,,,,,,,,,89
Delmont,PA,US,,,,,,,22,19,19
Delray Beach,FL,US,,,,,,,10,10,10
Demorest,GA,US,,,,,,,,,12
Denton,TX,US,,,,,,16,20,20,20
Denver,CO,US,37,38,36,37,35,42,44,46,47
Depew,NY,US,,,,,,,6,7,7
Derby,KS,US,,,,8,8,9,10,11,12
Des Moines,IA,US,34,34,34,31,30,32,32,34,36
Des Plaines,IL,US,,,,,,,9,10,15
Destin,FL,US,,,,,,,33,27,27
Detroit,MI,US,34,31,39,41,41,42,42,43,43
Detroit Lakes,MN,US,,,,,,,7,7,10
Deventer,OV,NL,,,,,,,,,77
Devon,AB,CA,,,,,,,,,60
Diamond Bar,CA,US,,,,,,,,26,26
Dickinson,ND,US,,,,,,,,41,41
Dickson City,PA,US,,,,,,,,20,20
Dillon,MT,US,,,,,,,,,61
Dinuba,CA,US,,,,,,,,38,38
Dixon,IL,US,,,,,5,5,5,6,6
Dodge City,KS,US,,,,,,,,4,4
Doral,FL,US,,,,,,,14,14,14
Dordrecht,ZH,NL,,,,,,,,,73
Dothan,AL,US,,,,,,,23,25,24
Double Oak,TX,US,,,,,,16,17,18,18
Douglasville,GA,US,,,,,,15,15,16,16
Dover,DE,US,,12,13,15,17,17,20,22,18
Dover,ID,US,,,,,,,,9,9
Dover,MA,US,,,,,,,,11,11
Dover,NH,US,,,,,,,15,15,16
Downers Grove,IL,US,31,29,29,9,9,9,11,11,11
Downey,CA,US,,,,,,12,11,20,19
"Downtown Los Angeles / University Park, Los Angeles",CA,US,17,16,17,27,,19,,27,
Doylestown,PA,US,,,,24,25,31,43,44,43
Drexel Hill,PA,US,,,,,,,,41,41
Drummondville,QC,CA,,,,,,,46,49,48
Dryden,NY,US,,,,,,,,21,20
Dubbo,NSW,AU,,,,,,,,,32
Dublin,(NA),IE,,,,,,,63,64,65
Dublin,CA,US,,,,,25,27,30,31,33
Dublin,OH,US,51,49,46,46,34,36,44,43,38
Dublin,TX,US,,,,,,6,6,6,7
Dubuque,IA,US,22,20,21,16,27,33,34,35,36
Dudley,(NA),GB,,,,,,27,17,42,44
Duluth,GA,US,27,27,18,18,18,20,16,18,17
Duluth,MN,US,,26,26,8,8,8,9,9,10
Duncanville,TX,US,,,,,,7,9,10,10
Dundalk,MD,US,,,,,,,,23,33
Dundee,(NA),GB,,,,,,,,55,57
Dundee,NY,US,,,,,28,28,20,20,20
Dunedin,FL,US,,,,,,,9,10,10
Dunwoody,GA,US,18,22,17,11,11,12,14,16,19
Durango,CO,US,,,,,13,13,13,20,21
Durant,OK,US,,,,,,,,,37
Durham,NC,US,26,24,13,14,15,15,16,17,17
Durham,NH,US,,,,,,,,,44
Düsseldorf,(NA),DE,,,,,,,,,74
Eagan,MN,US,,,,,,44,43,43,43
Eagle,CO,US,,,,,,,23,21,21
Eagle Lake,WI,US,,,,,,,,40,40
Ealing,(NA),GB,,,,,,61,,73,75
Earlysville,VA,US,,,,,,,47,55,55
Easley,SC,US,,,,,8,8,9,10,10
East Dundee,IL,US,,,,,11,11,11,15,13
East Earl,PA,US,,,,,,,,21,19
East Hanover,NJ,US,,,,,,,19,16,19
East Honolulu,HI,US,,32,17,15,16,16,18,21,22
East Lansing,MI,US,,,,,,,36,36,36
East Liverpool,OH,US,,,,,,,,23,23
East Merrimack,NH,US,,,,,,19,19,20,21
East Moline,IL,US,,,,,,,,9,9
East Northport,NY,US,,,,,9,8,9,10,10
East Palo Alto,CA,US,,,,,,27,29,32,36
East Providence,RI,US,,,,,13,12,11,12,13
East Renfrewshire,(NA),GB,,,,,,,,,44
East Troy,WI,US,,,,,,,,56,56
Easthampton,MA,US,,,,,,,11,11,12
Easton,MD,US,,,,,11,12,12,12,15
Easton,PA,US,,,,,,19,24,24,24
Eastvale,CA,US,,,,,,,17,20,22
Eaton,CO,US,,,,,,11,11,11,11
Eau Claire,WI,US,44,43,43,43,41,45,48,51,50
Eden Prairie,MN,US,,,,,,42,43,45,45
Edgecliff Village,TX,US,,,,,,2,3,4,4
Edgewater,CO,US,,,,,,27,16,20,21
Edgewater,NJ,US,,,,,18,18,23,26,26
Edina,MN,US,,,,,,,21,22,24
Edinburgh,(NA),GB,,,,,54,75,76,78,79
Edmond,OK,US,,,,,21,21,22,25,25
Edmonds,WA,US,,,,,,,27,33,34
Edmonton,AB,CA,,,40,41,61,56,58,61,62
Edmundston,NB,CA,,,,,,,47,47,47
Edwards,CO,US,,,,,,,,27,28
Edwardsville,IL,US,36,32,33,13,14,15,17,18,19
Effingham,IL,US,,,,,,,,7,8
Eindhoven,NB,NL,,,,,,,82,85,86
El Cerrito,CA,US,,,,,,55,58,59,59
El Dorado Hills,CA,US,,,,,,24,27,27,27
El Monte,CA,US,,,,,,13,13,22,22
El Paso,TX,US,24,16,18,6,6,6,7,7,7
El Sobrante,CA,US,,,,,,16,18,19,19
Elgin,IL,US,,,,,,,8,9,10
Elizabeth,NJ,US,,,,,37,37,41,45,44
Elizabethtown,KY,US,,14,9,9,9,9,9,9,10
Elk Grove,CA,US,,,,,,,21,22,23
Elk Grove Village,IL,US,,,,,7,7,7,10,11
Elk Run Heights,IA,US,,,,,,,17,17,17
Elkhart,IN,US,,,,,,,,5,5
Elkin,NC,US,,,,,,,,12,13
Elkins,WV,US,,,,,,,,,40
Elko,NV,US,,,,,,,,,47
Ellicott City,MD,US,,,,,,16,15,16,16
Ellicottville,NY,US,,,,,,,,16,16
Ellijay,GA,US,,,,,,,,15,15
Ellsworth,ME,US,,,,,,,,,26
Elmhurst,IL,US,,,,,7,7,7,7,7
Elmwood,LA,US,,,,,,,16,16,16
Elyria,OH,US,,,,,,,,,25
Emerald Isle,NC,US,,,,,,,74,76,76
Emeryville,CA,US,,,,,,41,42,43,44
Emigrant,MT,US,,,,,,,,40,36
Emmaus,PA,US,,48,45,45,51,51,55,50,58
Empire,CO,US,,,,,,17,17,17,20
Emporia,KS,US,,,,,,,,6,6
Encinitas,CA,US,,,,,39,38,38,41,40
Enfield,(NA),GB,,,,,,41,,64,65
Englewood,CO,US,,,,,,6,8,9,9
Englewood,KS,US,,,,,,,,18,18
Enid,OK,US,66,64,61,53,44,41,37,40,38
Ennis,TX,US,,,,,,10,10,10,10
Enschede,OV,NL,,,,,,,69,72,71
Enumclaw,WA,US,,,,,,,,,43
Erie,CO,US,,,,,,19,23,23,23
Erie,PA,US,,24,25,23,38,40,41,41,42
Escondido,CA,US,,,,,20,20,20,21,21
Essex Junction,VT,US,,,,,,,,,36
Estero,FL,US,18,18,20,20,19,19,14,16,16
Estes Park,CO,US,,,,,,,25,25,30
Euclid,OH,US,15,15,18,18,18,18,19,20,30
Eugene,OR,US,24,25,33,33,36,37,36,39,44
Euless,TX,US,,,,,,7,10,10,10
Eureka,CA,US,,,,23,22,27,25,26,28
Evans,CO,US,,,,,,4,5,6,7
Evanston,IL,US,32,31,30,7,32,33,38,41,43
Evansville,IN,US,13,23,23,5,5,6,6,8,8
Evansville,WI,US,,,,,,,,,60
Everett,MA,US,,,,,,,,10,11
Everett,WA,US,,,,,,41,39,40,39
Everman,TX,US,,,,,,10,9,9,8
Exeter,(NA),GB,,,,,,,,,77
Fairbanks,AK,US,,24,22,23,24,26,26,28,27
Fairburn,GA,US,,,,,,,,12,12
Fairfax,CA,US,,,,,,,,45,45
Fairfax,VA,US,,,,,46,48,46,46,46
Fairfield,CA,US,15,15,15,15,15,16,25,26,25
Fairfield,CT,US,,,,,,,22,22,22
Fairhope,AL,US,,,,,56,56,55,50,47
Fairmont,MN,US,,,,,,,,14,14
Fairport,NY,US,,,,,,,15,15,16
Fairview,TX,US,,,,,,15,28,28,29
Fall River,MA,US,,,,,,,6,7,8
Falls Church,VA,US,,,,,39,39,40,40,40
Falmouth,MA,US,18,18,19,16,16,15,18,22,22
Fargo,ND,US,49,49,46,52,61,47,48,55,59
Faribault,MN,US,,,,,,,12,14,14
Farmers Branch,TX,US,,,,,,11,11,13,13
Farmersville,TX,US,,,,,,13,14,14,13
Farmington,ME,US,,,,,,,,41,35
Farmington,NM,US,,,,,15,10,10,11,11
Farmington,UT,US,,,,,21,22,20,24,25
Farmington Hills,MI,US,,,,,21,19,23,26,26
Fate,TX,US,,,,,,7,12,12,12
Fayette,AL,US,,,,,,,,65,65
Fayette,MO,US,,,,,,88,88,80,89
Fayetteville,AR,US,29,32,36,39,42,46,49,50,51
Fayetteville,GA,US,,,,,,21,24,31,32
Fayetteville,NC,US,,23,8,8,10,10,10,10,10
Federal Heights,CO,US,,,,,,6,7,9,9
Federal Way,WA,US,,,21,21,21,21,24,25,26
Fergus Falls,MN,US,,,,,,10,12,12,12
Fernandina Beach,FL,US,,,,,,,,9,9
Ferndale,MI,US,40,44,49,50,49,49,50,50,53
Ferris,TX,US,,,,,,11,11,11,11
Festus,MO,US,,,,,,,11,11,11
Findlay,OH,US,,,,,,,30,32,32
Firestone,CO,US,,,,,,16,18,18,18
Firthcliffe,NY,US,,,,,14,14,21,23,21
Fishers,IN,US,,38,37,21,21,28,35,37,36
Fitchburg,WI,US,,38,37,33,41,40,42,47,47
Flagstaff,AZ,US,,,,,42,43,43,44,41
Flemington,NJ,US,,,,,,,,36,36
Flint,MI,US,,22,25,25,26,24,25,26,24
Florence,AZ,US,,,,,39,30,36,41,40
Florence,SC,US,,,,,,,,7,6
Florianópolis,(NA),BR,,,,,,,,,50
Flossmoor,IL,US,,,,,7,7,6,7,8
Flower Mound,TX,US,,,,,12,17,34,34,30
Foley,AL,US,,,,,,,23,25,26
Folsom,CA,US,31,31,34,35,35,35,34,35,37
Folsom,NJ,US,,,,,,,,27,22
Fond du Lac,WI,US,,,,,,52,54,54,53
Fontana,CA,US,,,,,,17,23,23,24
Forest Grove,OR,US,,,,,,,,33,34
Forest Heights,MD,US,,,,,,,,17,16
Forest Hill,TX,US,,,,,,3,4,4,4
Forest Lake,MN,US,,,,,,,,24,23
Forney,TX,US,,,,,,12,15,16,15
Fort Atkinson,WI,US,,,,,37,39,39,39,38
Fort Collins,CO,US,54,56,56,55,56,49,49,54,55
Fort Dodge,IA,US,,,,,,,19,16,16
Fort Lauderdale,FL,US,,17,4,4,5,5,11,12,12
Fort Morgan,CO,US,,,,,,,,3,4
Fort Myers,FL,US,,,,,12,12,14,15,14
Fort Pierce,FL,US,,,,,,,6,6,6
Fort Scott,KS,US,,,,,,,6,5,5
Fort Smith,AR,US,,28,28,5,5,5,6,7,8
Fort Valley,GA,US,,,,,,,9,9,9
Fort Wayne,IN,US,25,27,29,10,10,10,11,11,12
Fort Worth,TX,US,22,22,21,6,6,7,9,10,10
Fort Wright,KY,US,,,,,,,22,22,22
Fort Yates,ND,US,,,,,,,,88,88
Fortaleza,(NA),BR,,,,,,,,,52
Fountain Hills,AZ,US,,,,,,,,28,28
Fountain Valley,CA,US,,,,,13,13,13,14,16
Fox Point,WI,US,,,,,,,,,40
Foxborough,MA,US,13,13,13,12,13,14,16,16,17
Foxfield,CO,US,,,,,,13,14,14,14
Framingham,MA,US,,,,,,,10,10,16
Frankenmuth,MI,US,,,,,,,56,60,59
Frankfort,KY,US,,,,,,,,,12
Frankfurt am Main,(NA),DE,,,,,,,,,69
Franklin,IN,US,,,,,,,13,13,13
Franklin,NC,US,,,,,,,8,8,8
Franklin,TN,US,,25,24,24,24,24,25,25,22
Franklin,WI,US,,,,,,,26,26,26
Franklin Town,MA,US,,,,,,,,,14
Frederick,CO,US,,,,,,17,16,16,16
Frederick,MD,US,,27,12,12,12,13,12,13,11
Fredericksburg,VA,US,,,,,21,29,31,34,33
Fredericton,NB,CA,,,,,54,52,55,56,57
Fremont,CA,US,18,17,18,17,17,17,20,24,22
Fresno,CA,US,17,20,18,18,19,18,17,19,26
Fridley,MN,US,,,,,,,,,13
Friendsville,MD,US,,,,,,,,20,20
Frisco,TX,US,,,,,,9,18,18,19
Fruita,CO,US,,,,,,,11,11,11
Fryeburg,ME,US,,,,,,,46,44,45
Fullerton,CA,US,,,,,,28,26,25,24
Gadsden,AL,US,,,,,,,,20,22
Gaffney,SC,US,,,,,,,,7,7
Gahanna,OH,US,,,,31,24,24,28,28,29
Gainesville,FL,US,,36,16,16,17,17,17,19,20
Gainesville,GA,US,,,,,,,,11,11
Gaithersburg,MD,US,,,,,21,21,20,23,23
Galax,VA,US,,,,,,,,24,23
Galena,IL,US,,,,,25,25,18,48,55
Gallup,NM,US,,,,,8,8,8,9,9
Galt,CA,US,,,,,,42,46,46,46
Galveston,TX,US,,,,,,,7,8,7
Gambrills,MD,US,,,,,,15,14,14,14
Garden City,CO,US,,,,,,4,5,11,11
Garden Grove,CA,US,,,,,,,17,18,16
Gardiner,ME,US,,,,,,,,44,46
Gardner,MA,US,,,,,,,,15,17
Garland,TX,US,,,,,,5,7,8,8
Garner,NC,US,,,,,,,13,17,16
Garnett,KS,US,,,,,,,,,9
Garrett,PA,US,,,,,,,,,32
Gary,IN,US,,42,41,4,4,4,4,6,7
Gassaway,WV,US,,,,,,,,38,38
Gatineau,QC,CA,,,,,70,66,66,69,69
Geelong,VIC,AU,,,,,31,31,,34,36
Geneseo,IL,US,,,,,,,,9,11
Geneva,NY,US,,,,,,,9,11,11
Genoa,(NA),IT,,,,,,,,,55
Genoa City,WI,US,,,,,,,,,55
Georgetown,CO,US,,,,,,24,24,26,30
Georgetown,TX,US,,,,,,,14,14,15
Germantown,MD,US,,25,19,19,20,19,25,26,27
Germantown,TN,US,,,,,12,16,16,17,16
Gettysburg,PA,US,,,,,,,,18,18
Ghent,(NA),BE,,,,77,,81,78,79,80
Gibraltar,WI,US,,,,,,35,36,36,36
Gig Harbor,WA,US,,,,,,,20,21,22
Gilbert,AZ,US,,,23,22,25,26,27,28,28
Gillette,WY,US,,23,23,14,14,22,27,27,28
Gilroy,CA,US,,,,,,,29,30,31
Gladstone-Tannum Sands,QLD,AU,,,,,,,29,32,33
Glasgow,(NA),GB,,,,,28,60,57,60,62
Glastonbury Center,CT,US,,,,,,,,21,19
Glen Allen,VA,US,,,,,,,12,12,13
Glen Alpine,NC,US,,,,,,,,,13
Glen Arbor,MI,US,,,,,,,,47,48
Glen Burnie,MD,US,,,,,14,14,16,17,18
Glen Ellyn,IL,US,,,,,8,8,8,8,9
Glen Rose,TX,US,,,,,,13,14,14,17
Glenarden,MD,US,,,,,,,,8,7
Glenbrook,NV,US,,,,,,,,65,65
Glencoe,AL,US,,,,,,,33,31,30
Glendale,AZ,US,,29,25,25,25,24,26,26,26
Glendale,CA,US,,,,,,,19,27,27
Glendale,CO,US,,,,,,47,47,47,36
Glendale,WI,US,,,,,,,33,33,35
Glendora,CA,US,,,,,,,,28,25
Glenview,IL,US,,,,,,,,15,12
Glenwood Springs,CO,US,,,,,,,,26,26
Gloucester,(NA),GB,,,,,,,,,60
Godley,TX,US,,,,,,30,31,29,23
Gold Coast,QLD,AU,,,,,,29,,33,34
Golden,CO,US,,45,21,21,23,23,48,51,50
Goldsboro,NC,US,,,,,,,,,9
Goleta,CA,US,26,30,29,33,32,33,34,36,36
Gooding,ID,US,,,,,,,4,3,3
Goodyear,AZ,US,,,,,,25,23,23,25
Goose Creek,SC,US,,20,19,12,12,12,16,17,17
Gorham,ME,US,,,,,,,,27,31
Goshen,IN,US,,,,,,,,11,12
Granbury,TX,US,,,,,,11,12,12,12
Granby,QC,CA,,,,,,,60,61,66
Grand Blanc,MI,US,,,,,,,22,24,19
Grand Forks,ND,US,,60,59,61,62,57,58,61,59
Grand Haven,MI,US,,,,,,,59,59,59
Grand Island,NE,US,,32,20,33,33,33,30,33,36
Grand Junction,CO,US,,,,,12,12,11,14,15
Grand Ledge,MI,US,,,,,,,49,50,51
Grand Marais,MN,US,,,,,,21,28,28,32
Grand Prairie,TX,US,,,,,,8,9,11,11
Grand Rapids,MI,US,,28,20,18,18,21,26,30,32
Grand Rapids,MN,US,,,,,,,11,9,12
Grand Rivers,KY,US,,,,,,,,11,11
Grandview,TX,US,,,,,,15,18,20,19
Grandview Heights,OH,US,,,,,,25,24,26,24
Grandville,MI,US,,,,,,,42,47,50
Granger,IN,US,,,,,10,16,16,17,17
Grants,NM,US,,,,,,,21,12,11
Grants Pass,OR,US,,,,,35,35,37,31,41
Grapevine,TX,US,,,,,,10,16,16,16
Grass Valley,CA,US,,,,,,25,20,22,22
Grayslake,IL,US,,,,,,,,,24
Grayson,GA,US,,,,,21,21,19,26,26
Great Barrington,MA,US,,,,,,,,,21
Great Falls,MT,US,,45,35,35,32,36,36,36,36
Greece,NY,US,,,,,,,14,14,15
Greeley,CO,US,,,,,7,7,10,11,12
Green Bay,WI,US,38,37,33,40,38,38,40,40,40
Green Cove Springs,FL,US,,,,,,,9,8,8
Green Lake,WI,US,,,,,,,,28,28
Greenbelt,MD,US,,,,,,,13,13,13
Greenfield,IN,US,,,,,,,,10,10
Greenfield,MA,US,,,,,,,9,11,26
Greenlawn,NY,US,,,,,7,7,7,9,9
Greensboro,GA,US,,,,,,,,13,13
Greensboro,NC,US,25,24,7,8,8,8,7,8,9
Greenville,MS,US,,,,,,,,26,24
Greenville,NC,US,,,,,,,12,14,15
Greenville,OH,US,,,,,39,39,30,25,25
Greenville,SC,US,,42,43,14,14,15,16,16,17
Greenville,TX,US,,,,,,10,9,10,10
Greenwich,(NA),GB,,,,,,51,,70,69
Greenwich,CT,US,,,,,17,18,19,21,22
Greenwood Village,CO,US,,,,,,17,20,20,19
Gresham,OR,US,,20,21,18,16,17,21,22,24
Griffin,GA,US,,,,,,,12,11,11
Groningen,GR,NL,,,,,91,83,80,82,83
Grosse Pointe Woods,MI,US,,,,,,,44,44,44
Groton,CT,US,,,,,,,,,13
Groton,MA,US,,,,,,,,27,26
Groveland,CA,US,,,,,,,52,52,52
Groveland,FL,US,,,,,,,,17,19
Grover Beach,CA,US,,,,44,45,38,45,44,45
Guadalajara,(NA),MX,,,,,,,59,60,64
Guadalupe,CA,US,,,,53,51,51,51,50,45
Guatemala City,(NA),GT,,,,,,,44,47,48
Guelph,ON,CA,,,,,30,35,36,37,53
Guildford,(NA),GB,,,,,,,41,43,43
Gulf Shores,AL,US,,,,,,,29,36,36
Gulfport,FL,US,,,,,,,3,2,2
Gulfport,MS,US,,16,15,17,15,17,18,20,20
Gunnison,CO,US,,,,,,,33,33,34
Gurnee,IL,US,,,,,,,10,12,12
Gustine,CA,US,,,,,,,56,54,54
Guyton,GA,US,,,,,,,,25,25
Hackberry,TX,US,,,,,,9,14,14,14
Hackensack,NJ,US,,,,,,,,,31
Hackettstown,NJ,US,,,,,,,36,42,31
Hackney,(NA),GB,,,,,,71,,82,83
Hagerstown,MD,US,,,,,6,7,6,7,7
Hailey,ID,US,,,,,,,25,24,77
Hales Corners,WI,US,37,39,38,38,39,38,40,41,42
Half Moon Bay,CA,US,,,,,,,49,51,51
Halifax,NS,CA,,,,,34,33,38,40,41
Haltom City,TX,US,,,,,,5,6,6,7
Hamburg,(NA),DE,,,,,53,80,67,68,68
Hamburg,MI,US,,,,,30,30,24,23,22
Hamilton,(NA),NZ,,,,,,,,,58
Hamilton,GA,US,,,,,,,,,33
Hamilton,ON,CA,,,28,28,32,50,52,54,54
Hammersmith and Fulham,(NA),GB,,,,,,61,,78,76
Hammond,IN,US,25,26,30,3,3,4,5,10,14
Hammonton,NJ,US,,,,,20,20,20,21,28
Hampton,NH,US,,,,,,,,,24
Hampton,VA,US,,,,,,,,,17
Hampton Beach,NH,US,,,,,,,,17,17
Hancock,MD,US,,,,,,,,16,16
Hancocks Bridge,NJ,US,,,,,18,18,29,29,31
Hanford,CA,US,,,,,,,,,26
Hannover,(NA),DE,,,,,,,,,83
Hanover,NH,US,,,,,,,,,32
Hanover,NJ,US,,,,,,,,,16
Hanover Park,IL,US,,,,,,,13,14,13
Hapeville,GA,US,,,,,,7,7,30,29
Happy Valley,OR,US,,,,,17,18,19,20,22
Harbor Springs,MI,US,,,,,,,,92,63
Haringey,(NA),GB,,,,,,57,,76,75
Harleysville,PA,US,,,,,34,35,55,50,50
Harlingen,TX,US,,,,,,,7,7,8
Harpers Ferry,WV,US,,,,,,,,,20
Harrisburg,PA,US,,15,15,14,14,16,27,29,29
Harrisonburg,VA,US,,,,,20,21,23,24,27
Harrogate,(NA),GB,,,,,,,,47,48
Harrow,(NA),GB,,,,,,30,,51,53
Hartford,CT,US,,24,16,17,15,15,16,17,17
Hartland,WI,US,,,,,,,,,40
Harveys Lake,PA,US,,,,,,,,25,19
Haslet,TX,US,,,,,,17,20,21,23
Hasselt,(NA),BE,,,,78,,76,78,80,79
Hastings,MN,US,,,,,,,26,26,27
Hatboro,PA,US,,,,,,,,,20
Hatch,NM,US,,,,,10,9,13,12,12
Hatfield,PA,US,,,,,,,,24,22
Hattiesburg,MS,US,19,18,14,19,18,18,18,22,24
Havana,(NA),CU,,,,,,,45,47,47
Haverford College,PA,US,,,,,,,,,59
Haverhill,MA,US,,,,,,,,8,8
Havering,(NA),GB,,,,,,33,,57,58
Havre,MT,US,,,,,,,,,82
Havre de Grace,MD,US,,,,,,,,7,7
Hawaii,HI,US,,,,,,,,37,
Hayward,CA,US,,,,,,,,19,19
Hayward,WI,US,,,,,57,51,58,58,56
Hazel Crest,IL,US,,,,,,,,8,8
Hazel Park,MI,US,,,,,,,,,41
Healdsburg,CA,US,,,,,48,41,48,59,59
Heath,TX,US,,,,,,15,25,25,23
Heber,UT,US,,,,,,,33,39,33
Heber Springs,AR,US,,,,,,,,,13
Helena,MT,US,,39,37,48,56,56,62,61,60
Hempstead,NY,US,,,,,,,,,14
Henderson,NV,US,28,28,28,27,24,29,31,31,35
Hendersonville,NC,US,,,,,,,7,8,8
Hendersonville,TN,US,,,,,,,28,29,28
Hermitage,PA,US,,,,,,,,23,27
Herndon,VA,US,,,,,18,20,22,24,24
Heron Lake,MN,US,,,,,,,,19,19
Hertford,(NA),GB,,,,,,,,44,44
Hervey Bay,QLD,AU,,,,,,45,,45,49
Heusden-Zolder,(NA),BE,,,,,,63,62,62,62
Hewitt,NJ,US,,,,,,,15,13,13
Hialeah,FL,US,,,,,,,4,5,5
Hibbing,MN,US,,,,,,,,9,9
Hickory,NC,US,32,34,7,7,7,6,7,7,8
Hickory Creek,TX,US,,,,,,13,14,17,17
