City,census_name,State,state_full,fips_code,Country,uuid,Year,Community Survey - Network,Community Survey - Awareness,Community Survey - Safety,Community Survey - Ridership,Community Score - Total,"Community Score - Total, Rounded",Community Survey - Responses,BNA - neighborhoods,BNA - opportunity_employment,BNA - opportunity_k12_education,BNA - opportunity_technical_vocational_college,BNA - opportunity_higher_education,BNA - opportunity,BNA - essential_services_doctors,BNA - essential_services_dentists,BNA - essential_services_hospitals,BNA - essential_services_pharmacies,BNA - essential_services_grocery,BNA - essential_services_social_services,BNA - essential_services,BNA - retail,BNA - recreation_parks,BNA - recreation_trails,BNA - recreation_community_centers,BNA - recreation,BNA - transit,BNA - overall_score,total_low_stress_miles,total_high_stress_miles,city_ratings_total,city_ratings_rounded,population,rank_country,pop_size,rank_country_size,rank_state_size,speed_limit,region,latitude,longitude
Mill Valley,Mill Valley city,CA,California,647710,United States,2a229aa7-8420-4e95-9afe-5f899fa2e8c4,2021,58.772,55.264,42.27,83.992,60.0745,60,38,51.9,50.19,57.24,0,0,37.6,0,0,0,19.84,71.4,42.89,26.27,28.52,77.98,68.15,37.45,64.41,3.71,35.06,147,15.2,40.0629,40,14330,107,small,50,8,25,Pacific,37.9081217,-122.5423253
Butte,Butte-Silver Bow (balance),MT,Montana,3011397,United States,2a1918a7-8ea8-4fce-8fc1-353294bb0367,2021,48.564,41.868,43.104,64.368,49.476,49,29,51.31,35.06,45.28,8.62,24.83,33.95,22.76,16.27,8.72,30.22,40.69,14.56,23.3,17.74,55.3,56.95,0,56.07,0.22,30.25,1283.5,343.3,34.0952,34,33964,187,small,85,4,25,Mountain,45.8962319,-112.6600714
Brookings,Brookings city,SD,South Dakota,4607580,United States,299c74a9-ab81-4b11-b443-fb86bfa5a8a8,2021,54.762,60.952,36.608,81.102,58.356,58,28,28.67,20.7,29.24,0,52.27,31.04,9.47,0,1.79,10.65,9.15,0,7.47,21.72,58.32,25.72,0,43.11,0,25.56,188.2,104.2,32.1192,32,24108,213,small,91,1,25,Midwest,44.3023248,-96.7864829
Fairbanks,Fairbanks city,AK,Alaska,224230,United States,29839f18-29bc-48b0-9e84-109e7e89f347,2021,54.302,53.898,42.54,81.518,58.0645,58,31,31.7,22.26,24.54,15.64,2.5,18.44,12.49,61.2,22.15,3.19,23.59,0,22.66,21.22,44.34,32.09,0,38.62,10.68,23.55,381.3,169.4,30.4529,30,31551,245,small,108,2,25,Pacific,64.8365307,-147.6517447
Fredericton,,NB,New Brunswick,,Canada,2970c209-3151-495f-a71a-85af030b7c7b,2021,55.03,40.4,42.8,76.6,53.69,54,101,55.06,,58.31,54.65,56.75,57.29,45.31,35.63,62.06,48.51,60.5,61.25,54.2,62.94,75.39,76.04,29.32,64.1,29.71,54,288.8,532.5,53.994,54,58220,6,medium,3,1,31,Canada,45.9636,-66.6431
Alexandria,Alexandria city,VA,Virginia,5101000,United States,28feb51e-47f5-4182-98da-bac2aa932296,2021,59.14,52.722,42.522,70.51,56.2235,56,341,39.34,37.36,58.09,27.12,0,45.15,32.04,27.63,22.57,52.57,64.76,25.16,38.91,37.25,72.37,47.41,25.47,51.91,27.66,40.24,461.2,160.8,43.4367,43,157613,76,medium,23,2,25,South,38.8200709,-77.0840628
Arnold,,MO,Missouri,2901972,United States,28edb868-0d25-4a68-acfa-bdd3e0140a19,2021,0,0,0,0,0,0,0,18.62,17.26,13.57,19.59,0,15.94,0,0,0,1.76,11.43,0,5.06,0,12.91,0,0,12.91,0,12.76,193.7,65,12.76,13,21146,642,small,290,2,25,Midwest,38.4260075,-90.3693112
Red Deer,,AB,Alberta,,Canada,28880c8d-8f29-44a5-8a74-987d5268b570,2021,52.81,43.8,44.2,73.4,53.53,54,89,43.14,,54.35,32.16,0,49.6,0,32.58,18.74,30.06,47.2,43.64,35.45,46.9,73.53,59.01,20.93,55.3,10.15,40,264.2,677.9,42.97,43,100418,18,medium,10,2,31,Canada,52.269,-113.8116
Madison,Madison city,WI,Wisconsin,5548000,United States,27fb49d8-aefb-484f-ad3b-f21f52ac1708,2021,70.696,66.144,42.526,78.872,64.5595,65,424,58.49,46.57,55.02,42.36,55.66,50.92,44.93,42.58,54.82,40.78,57.41,59.85,51.62,58.14,75.8,61.53,43.51,62.73,24.41,51.07,1705.8,477.3,53.7679,54,254977,32,medium,8,2,25,Midwest,43.0878147,-89.4298563
Rancho Cucamonga,Rancho Cucamonga city,CA,California,659451,United States,2712fd2c-444c-4ddc-9762-66d24ddb438f,2021,53.092,39.468,43.686,77.706,53.488,53,97,14.68,10.88,26.06,6.89,0,17.02,7.07,8.17,1.03,8.08,9.03,5.58,6.34,17.18,28.14,14.48,5.01,17.58,8.52,13.37,852.1,361.1,21.3936,21,176379,443,medium,195,30,25,Pacific,34.1233209,-117.5642273
Seminole,Seminole city,FL,Florida,1264975,United States,26a3ff0a-192c-420f-af6a-72b935e3661d,2021,49.768,32.43,47.916,64.584,48.6745,49,36,7.73,8.33,9.76,5.7,0,8.63,8.72,1.28,2.77,7.02,8.36,0,5.22,7.03,12.41,9.81,0,8.4,0,7.35,9,158.4,15.6149,16,18657,593,small,265,15,30,South,27.8427352,-82.7853042
