city,state,state_full,country,region,year,census_fips_code,census_population,census_latitude,census_longitude,residential_speed_limit,bna_id,bna_uuid,bna_people,bna_opportunity_employment,bna_opportunity_k12_education,bna_opportunity_technical_vocational_college,bna_opportunity_higher_education,bna_opportunity,bna_core_services_doctors,bna_core_services_dentists,bna_core_services_hospitals,bna_core_services_pharmacies,bna_core_services_grocery,bna_core_services_social_services,bna_core_services,bna_retail,bna_recreation_parks,bna_recreation_trails,bna_recreation_community_centers,bna_recreation,bna_transit,bna_overall_score,bna_rounded_score,bna_total_low_stress_miles,bna_total_high_stress_miles,pop_size,rank,rank_size,rank_state,rank_country,rank_country_size,creation_date,filename
Heusden-Zolder,VLI,Limburg,Belgium,Europe,2023,9900047,30769,51.0349,5.2818,25,9cef2241-bd7e-4bd9-8bf6-cfb4ba23ff58,880dad53-5d20-49ae-ab4b-c23ff5bb249f,61.73,0,69.81,53.18,0,66.11,42.53,45.71,58.34,59.13,72.13,74.27,59.83,54.2,69.96,67.78,73.34,70.04,58.58,61.87,62,379.6,71.6,small,,,,,,2023-01-09T14:33:00Z,_Heusden-Zolder_v23.2.csv
Heusden-Zolder,VLI,Limburg,Belgium,Europe,2023,9900047,30769,51.0349,5.2818,25,9cef2241-bd7e-4bd9-8bf6-cfb4ba23ff58,7e566e41-ce2a-4a06-b67f-0865d8a5b64a,62.91,0,75.8,55.96,0,71.39,57.67,41.11,50.12,70.76,81.42,80.5,65.18,65.62,75.99,71.1,77.61,74.68,59.33,66.7,67,379.6,71.6,small,,,,,,2023-01-06T17:09:00Z,_Heusden-Zolder_v23.1.csv
Knokke,VWV,West Flanders,Belgium,Europe,2023,9900048,33097,51.346,3.2888,25,1658ab4b-9ab5-4cf5-964e-1b3e2572c596,18b621f7-ee9a-4cd3-937b-fe11d2e83dc4,75.32,0,77.97,0,0,77.97,70.13,0,35.5,78.86,83.62,76.02,68.13,51.21,79.91,86.05,46.05,73.59,71.95,70.03,70,354.2,96,small,,,,,,2023-01-09T13:46:00Z,_Knokke_v23.2.csv
Knokke,VWV,West Flanders,Belgium,Europe,2023,9900048,33097,51.346,3.2888,25,1658ab4b-9ab5-4cf5-964e-1b3e2572c596,700c74eb-d3fa-418d-bbde-fcfa80d951dc,86.41,0,83.58,0,0,83.58,58.67,0,78.44,81.22,87.89,66.17,74.94,58.08,89.57,92.6,55.87,82.21,60.77,74.82,75,354.2,96,small,,,,,,2023-01-06T17:07:00Z,_Knokke_v23.1.csv
Kortrijk,VWV,West Flanders,Belgium,Europe,2023,9900049,77741,50.828,3.2649,25,cc56a4af-d23c-4e28-88d8-bc5171dd45f4,00d06c48-d8cd-470d-8c0f-8664805b753b,70.23,0,79.03,68.28,82.25,78.37,65.39,49.76,68.09,72.41,82.33,79.47,71.42,66.68,80.83,81.26,64.99,77.02,70.54,72.63,73,666.4,154.4,medium,,,,,,2023-01-09T14:33:00Z,_Kortrijk_v23.2.csv
Kortrijk,VWV,West Flanders,Belgium,Europe,2023,9900049,77741,50.828,3.2649,25,cc56a4af-d23c-4e28-88d8-bc5171dd45f4,099ecf40-8ff8-4c92-934f-44006149e784,74.88,0,79.93,77.06,72.16,77.1,67.92,36.15,73.79,76.7,85.84,80.62,73.18,64.1,83.62,85.89,69.07,80.78,75.41,74.33,74,666.4,154.4,medium,,,,,,2023-01-06T17:08:00Z,_Kortrijk_v23.1.csv
Leuven,VBR,Flemish Brabant,Belgium,Europe,2023,9900050,101032,50.8798,4.7005,25,91ef8a54-845f-4a06-a31f-79b596812ce1,b6396fb5-d190-4c69-9557-ffadc4d45629,82.97,0,88.09,81.45,88.23,87.11,86.56,81.6,80.51,87.19,89.43,87.59,85.79,82.92,88.72,93.93,80.68,88.53,80.2,84.77,85,585.2,127.4,medium,,,,,,2023-01-09T14:33:00Z,_Leuven_v23.2.csv
Leuven,VBR,Flemish Brabant,Belgium,Europe,2023,9900050,101032,50.8798,4.7005,25,91ef8a54-845f-4a06-a31f-79b596812ce1,ad9c13a2-77e9-46c2-9bb7-906d67423ce9,83.07,0,87.89,80.85,85.31,86.01,87.26,79.09,85.08,87.79,90.3,88.26,86.97,82.62,88.85,94.32,82.2,89.1,80.48,84.89,85,585.2,127.4,medium,,,,,,2023-01-06T17:09:00Z,_Leuven_v23.1.csv
Belford Roxo,RJ,Rio de Janeiro,Brazil,South America,2023,9900051,446731,-22.7606,-43.4037,25,bd1f74b3-bcc8-44c2-959f-f959accc3712,643056d5-b7f2-4877-8a1f-a6c69a64699c,57.3,0,55.24,42.95,18.88,42.16,33.39,0,41.96,36.92,73.87,0,49.64,17.39,77.29,0,15.9,53.68,32.39,42.47,42,1119.2,142.7,large,,,,,,2023-04-18T10:58:00Z,_Belford Roxo_v23.1.csv
Porto Alegre,RS,Rio Grande do Sul,Brazil,South America,2023,9900052,1404269,-30.0368,-51.209,25,021c8793-b87e-4d0e-8f3a-4f1b40931e56,ecdac8d2-8158-430c-9d0e-68117141d949,46.72,0,74.55,49.97,54.58,64.62,59.04,26.81,50.96,60.07,79.28,55.4,58.82,54.16,74.95,23.78,50.47,50.92,43.97,54.05,54,2738,1056.8,large,,,,,,2023-04-18T10:56:00Z,_Porto Alegre_v23.1.csv
São Paulo,SP,São Paulo,Brazil,South America,2023,9900053,12396372,-23.5558,-46.6396,25,44cdf8b9-eee9-4669-aac8-b412108a50fb,e735e5c1-ccb0-4d5f-85a9-568b170895ed,48.27,0,75.33,41.66,45.93,61.1,57.82,34.78,55.31,58.9,78.17,35.83,56.91,32.93,76.15,53.5,23.94,55.17,50.75,51.67,52,13522.8,3130.2,large,,,,,,2023-04-25T09:41:00Z,_São Paulo_v23.1.csv
Abbotsford,BC,British Columbia,Canada,Canada,2022,9900059,153524,49.0504,-122.3045,31,7b1e22d7-af24-463d-b96d-d3a837f1e767,2908cd28-bb06-4b5a-a4e2-f347319e00b8,32.29,0,53.68,35.22,17.18,39.96,45.54,40.7,19.35,42.31,39.19,47.93,38.27,58.04,72.43,23.07,19.29,41.87,20.67,38.58,39,404.9,1097.5,medium,,,,,,2022-03-28T13:22:00Z,BC_Abbotsford_v22.1.csv
Abbotsford,BC,British Columbia,Canada,Canada,2021,9900059,141397,49.0504,-122.3045,31,7b1e22d7-af24-463d-b96d-d3a837f1e767,189505be-8eca-45f5-89cc-15df207d92bb,33.83,0,57.34,35.03,16.75,41.82,44.01,44.09,19.45,43.48,40.37,51.47,39.26,59.04,72.9,23.26,22.33,42.88,21.72,39.84,40,390.5,1098.3,medium,,,,,,2021-03-24T12:25:00Z,BC_Abbotsford_v21.1.csv
Abbotsford,BC,British Columbia,Canada,Canada,2023,9900059,153524,49.0504,-122.3045,31,7b1e22d7-af24-463d-b96d-d3a837f1e767,2f1415e8-726a-41c3-9439-9c898d39d437,32.31,0,53.69,35.63,17.18,39.68,45.13,41.09,19.35,44.65,41.01,48.25,38.96,58.05,72.92,23.07,19.29,42.07,20.67,38.69,39,408,1101.3,medium,,,,,,2023-04-12T15:26:00Z,BC_Abbotsford_v23.1.csv
Ajax,ON,Ontario,Canada,Canada,2022,9900086,126666,43.8509,-79.0204,31,06f3164a-13b0-4079-a399-654e8eeffea9,49bf1d76-89de-438c-a681-f896e1303b92,42.43,0,62.7,17.8,0,53.08,42.28,54.59,30.1,48.35,59.94,37.11,45.32,64.23,72.84,48.26,35.08,54.8,17.25,46.49,46,193.4,514.3,medium,,,,,,2022-03-28T16:08:00Z,ON_Ajax_v22.1.csv
Ajax,ON,Ontario,Canada,Canada,2023,9900086,126666,43.8509,-79.0204,31,06f3164a-13b0-4079-a399-654e8eeffea9,87169228-204d-4698-aa5c-f0f227535cfa,42.64,0,62.77,17.8,0,52.78,44.32,57.43,30.1,51.12,60.45,37.39,46.46,63.33,72.79,48.51,36.6,55.24,17.25,46.62,47,201.7,515.1,medium,,,,,,2023-04-12T15:55:00Z,ON_Ajax_v23.1.csv
Ajax,ON,Ontario,Canada,Canada,2021,9900086,119677,43.8509,-79.0204,31,06f3164a-13b0-4079-a399-654e8eeffea9,79754bfd-f3be-42af-a457-f65311a1cd07,42.6,0,62.56,0,0,49.15,40.54,53.61,21.84,50.37,58.6,33.54,42.56,64.39,72.82,48.34,29.94,53.53,14.28,44.56,45,169.6,515.4,medium,,,,,,2021-06-02T10:42:00Z,ON_Ajax_v21.1.csv
Barrie,ON,Ontario,Canada,Canada,2021,9900087,141434,44.3894,-79.6903,31,7fda8d8c-4a65-44e7-9a7f-4e40573ccbef,e8588a72-dea3-48ef-b28f-7381d2dba7d2,26.21,0,47.26,13.08,0,39.94,22.73,17.81,18.22,23.63,30.58,29.08,24.34,56.35,65.12,0,7.63,43.01,18.05,34.4,34,126.1,737.7,medium,,,,,,2021-03-25T09:28:00Z,ON_Barrie_v21.1.csv
Barrie,ON,Ontario,Canada,Canada,2022,9900087,147829,44.3894,-79.6903,31,7fda8d8c-4a65-44e7-9a7f-4e40573ccbef,0a93a0a8-0282-40aa-bc74-04e801886789,27.46,0,48.05,14.02,0,40.76,23.24,24.33,19.95,26.5,32.25,33.07,26.74,57.62,65.62,0,10.41,44.39,18.18,35.65,36,144.7,739,medium,,,,,,2022-03-28T16:08:00Z,ON_Barrie_v22.1.csv
Barrie,ON,Ontario,Canada,Canada,2023,9900087,147829,44.3894,-79.6903,31,7fda8d8c-4a65-44e7-9a7f-4e40573ccbef,b12b56ab-b688-47a2-97c2-2dbc097de0ff,28.16,0,42.05,19.1,0,36.95,23.27,24.5,22.05,27.61,32.51,33.82,27.48,58.32,66.34,0,10.41,44.83,18.76,35.4,35,149.9,739.7,medium,,,,,,2023-04-12T16:09:00Z,ON_Barrie_v23.1.csv
